register,type,type_code,scale,scale_str,elem_size,count,source_ptr,notes
30000,u16,0x02,0,x1,2,1,0x20014EAE,bat_sample_volt (Einheit 0.1V)
30001,i16,0x12,0,x1,2,1,0x20014EAC,bat_sample_power W
30002,i16,0x12,0,x1,2,1,0x20014EB0,env_temp (Einheit 0.1C)
30003,i16,0x12,0,x1,2,1,0x20014EB2,radiator_temp (Einheit 0.1C)
30004,u16,0x02,0,x1,2,1,0x20014EA0,grid_volt (Einheit 0.1V)
30005,u16,0x02,0,x1,2,1,0x20014EA4,off_grid_volt (Einheit 0.1V) - KEIN Pack-Count
30006,i16,0x12,0,x1,2,1,0x20014EA8,grid_sample_power W
30007,i16,0x12,0,x1,2,1,0x20014EAA,off_grid_power W
30010,u8,0x01,0,x1,2,1,0x20000144,work_mode (Status-Block Offset 0)
30020,u16,0x02,0,x1,2,1,0x20014F48,
30021,u16,0x02,0,x1,2,1,0x20014F4E,
30022,u16,0x02,0,x1,2,1,0x20014F54,
30023,u16,0x02,0,x1,2,1,0x20014F5A,
30024,u16,0x02,0,x1,2,1,0x20014F4A,
30025,u16,0x02,0,x1,2,1,0x20014F50,
30026,u16,0x02,0,x1,2,1,0x20014F56,
30027,u16,0x02,0,x1,2,1,0x20014F5C,
30028,u16,0x02,0,x1,2,1,0x20014F70,
30029,i16,0x12,0,x1,2,1,0x20014F72,
30030,u16,0x02,0,x1,2,1,0x2000018A,
30031,u16,0x02,0,x1,2,1,0x20014F78,
30032,u16,0x02,0,x1,2,1,0x20014F7A,
30033,u16,0x02,0,x1,2,1,0x20014F7C,
30034,u16,0x02,0,x1,2,1,0x20014F7E,
30035,i16,0x12,0,x1,2,1,0x20014F80,
30036,u16,0x02,0,x1,2,1,0x20014F74,
30037,u16,0x02,0,x1,2,1,0x20014F4C,
30038,u16,0x02,0,x1,2,1,0x20014F52,
30039,u16,0x02,0,x1,2,1,0x20014F58,
30040,u16,0x02,0,x1,2,1,0x20014F5E,
30100,u16,0x02,0,x1,2,1,0x20014FA8,
30101,i16,0x12,0,x1,2,1,0x20014FAA,
30102,u16,0x02,0,x1,2,1,0x20014FB8,
30103,u16,0x02,0,x1,2,1,0x20014FBA,
30104,i16,0x12,1,x10,2,1,0x20014FBC,FW multipliziert mit 10
30105,i16,0x12,1,x10,2,1,0x20014FBE,FW multipliziert mit 10
30106,u16,0x02,0,x1,2,1,0x20014FF6,
30107,i16,0x12,0,x1,2,1,0x20014FF2,
30108,i16,0x12,0,x1,2,1,0x20014FF4,
30109,u8,0x01,0,x1,2,1,0x20014FA0,
30110,u8,0x01,0,x1,2,1,0x20014FA3,
30200,u16,0x02,0,x1,2,1,0x08010000,Quelle liegt im FLASH (App-Header)
30201,u8,0x01,0,x1,2,1,0x20000038,
30202,u16,0x02,0,x1,2,1,0x2000015E,
30203,u16,0x02,0,x1,2,1,0x20000160,
30204,u16,0x02,0,x1,2,1,0x20014FC6,BMS-Version
30205,u16,0x02,0,x1,2,1,0x20000188,
30210,u8,0x01,0,x1,2,1,0x20014FB6,
30211,u8,0x01,0,x1,2,1,0x20000165,
30212,u8,0x01,0,x1,2,1,0x20000138,
30213,u8,0x01,0,x1,2,1,0x20000164,
30214,u8,0x01,0,x1,2,1,0x20014FA2,
30300,u8,0x01,0,x1,2,1,0x20001F4C,
30301,u8,0x01,0,x1,2,1,0x20018B4C,
30302,u8,0x01,0,x1,2,1,0x2001915D,
30303,u8,0x01,0,x1,2,1,0x20001F4D,
30304,ascii,0x31,0,x1,1,12,0x2001893E,ASCII 12 Byte = 6 Register
