register,type,type_code,scale,scale_str,elem_size,count,source_ptr,notes
30000,u16,0x02,0,x1,2,1,0x20014EBA,
30001,i16,0x12,0,x1,2,1,0x20014EB8,
30002,i16,0x12,0,x1,2,1,0x20014EBC,
30003,i16,0x12,0,x1,2,1,0x20014EBE,
30004,u16,0x02,0,x1,2,1,0x20014EAC,
30005,u16,0x02,0,x1,2,1,0x20014EB0,
30006,i16,0x12,0,x1,2,1,0x20014EB4,
30007,i16,0x12,0,x1,2,1,0x20014EB6,
30010,u8,0x01,0,x1,2,1,0x20000144,
30020,u16,0x02,0,x1,2,1,0x20014F54,
30021,u16,0x02,0,x1,2,1,0x20014F5A,
30022,u16,0x02,0,x1,2,1,0x20014F60,
30023,u16,0x02,0,x1,2,1,0x20014F66,
30024,u16,0x02,0,x1,2,1,0x20014F56,
30025,u16,0x02,0,x1,2,1,0x20014F5C,
30026,u16,0x02,0,x1,2,1,0x20014F62,
30027,u16,0x02,0,x1,2,1,0x20014F68,
30028,u16,0x02,0,x1,2,1,0x20014F7C,
30029,i16,0x12,0,x1,2,1,0x20014F7E,
30030,u16,0x02,0,x1,2,1,0x2000018A,
30031,u16,0x02,0,x1,2,1,0x20014F84,
30032,u16,0x02,0,x1,2,1,0x20014F86,
30033,u16,0x02,0,x1,2,1,0x20014F88,
30034,u16,0x02,0,x1,2,1,0x20014F8A,
30035,i16,0x12,0,x1,2,1,0x20014F8C,
30036,u16,0x02,0,x1,2,1,0x20014F80,
30037,u16,0x02,0,x1,2,1,0x20014F58,
30038,u16,0x02,0,x1,2,1,0x20014F5E,
30039,u16,0x02,0,x1,2,1,0x20014F64,
30040,u16,0x02,0,x1,2,1,0x20014F6A,
30100,u16,0x02,0,x1,2,1,0x20014FB4,
30101,i16,0x12,0,x1,2,1,0x20014FB6,
30102,u16,0x02,0,x1,2,1,0x20014FC4,
30103,u16,0x02,0,x1,2,1,0x20014FC6,
30104,i16,0x12,1,x10,2,1,0x20014FC8,
30105,i16,0x12,1,x10,2,1,0x20014FCA,
30106,u16,0x02,0,x1,2,1,0x20015002,
30107,i16,0x12,0,x1,2,1,0x20014FFE,
30108,i16,0x12,0,x1,2,1,0x20015000,
30109,u8,0x01,0,x1,2,1,0x20014FAC,
30110,u8,0x01,0,x1,2,1,0x20014FAF,
30200,u16,0x02,0,x1,2,1,0x08010000,
30201,u8,0x01,0,x1,2,1,0x20000038,
30202,u16,0x02,0,x1,2,1,0x2000015E,
30203,u16,0x02,0,x1,2,1,0x20000160,
30204,u16,0x02,0,x1,2,1,0x20014FD2,
30205,u16,0x02,0,x1,2,1,0x20000188,
