register,name,alt_name,einheit,quelle,typ,type_code,fw_scale,fw_scale_code,anzeige_faktor,elem_size,count,belegt_regs,teil_von,source_ptr_v150,konfidenz,beispiel_entladen,beispiel_laden,v_entladen,v_laden,v_ref_v150,v_dc_entladen,v_backup,v_unter_dod,v_laden_6pack,v_bat_ab,v_boot,min_all,max_all,n_werte,n_logs,notiz
30000,bat_sample_volt,dc_bus_voltage_1,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014EBA,hoch,,,,,527,,500,505,540,,,0,556,1224,15,Struct +0x1e 'bat_sample_volt(0.1V)'
30001,bat_sample_power,battery_power,W,FC03-Read (Descriptor),i16,0x12,x1,0,1,2,1,1,,0x20014EB8,hoch,-2676 W,2310 W,62860,2310,65522,62880,63198,65524,440,65524,,37,65535,1428,26,"Struct +0x1c 'bat_sample_power(1W)', i16, negativ = Entladung. Alias 32102. Lasttest 2026-08-22: -648 bei 600 W Entladung, Bilanz 648 = 601 (30006) + 50 (30007) + 3 W Verlust. Skalierung damit bestaetigt. NICHT identisch mit dem BLE-Feld 'Battery Power' (0x8C), das die Firmware als BMS-Spannung x BMS-Strom rechnet (32100 x 32101) - daher im Leerlauf abweichend. Siehe BLE_vs_Modbus_Leistungswerte_2026-08-22.md"
30002,env_temp,internal_temp_filtered,°C,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20014EBC,hoch,,,,,282,,312,313,302,,,236,521,1223,15,Struct +0x20 'env_temp(0.1C)'. Alias 35000
30003,radiator_temp,mos_temp_filtered,°C,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20014EBE,hoch,,,,,288,,336,337,306,,,237,550,1223,15,Struct +0x22 'radiator_temp(0.1C)'. Alias 35001/35002
30004,grid_volt,ac_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014EAC,hoch,,,,,2378,,2436,100,2390,,,18,2461,1223,15,Struct +0x10 'grid_volt(0.1V)'. Alias 32200/32201
30005,off_grid_volt,backup_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014EB0,hoch,,,,,6,,2416,4,8,,,4,2443,1267,18,Struct +0x14 'off_grid_volt(0.1V)'. Alias 32300/32301
30006,grid_sample_power,ac_power,W,FC03-Read (Descriptor),i16,0x12,x1,0,1,2,1,1,,0x20014EB4,hoch,2511 W,-2468 W,2511,63068,0,2511,2209,0,65039,,,0,65523,1362,23,Struct +0x18 'grid_sample_power(1W)'. Alias 32202/37004. BLE-Payload 0x02 ('AC Power' in VenusControl) ist eine direkte Kopie dieses Feldes (FUN_0800b024). Siehe BLE_vs_Modbus_Leistungswerte_2026-08-22.md
30007,off_grid_power,backup_power,W,FC03-Read (Descriptor),i16,0x12,x1,0,1,2,1,1,,0x20014EB6,hoch,,,,,0,,366,0,0,0,,0,3271,1324,20,Struct +0x1a 'off_grid_power(1W)'. Alias 32302. BLE-Payload 0x00 ('Backup Load' in VenusControl) ist eine direkte Kopie dieses Feldes (FUN_0800b024). Siehe BLE_vs_Modbus_Leistungswerte_2026-08-22.md
30010,work_mode,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20000144,hoch,,,0,0,0,0,0,0,0,0,,0,65520,1424,26,"0x20000144 'work_mode' / +1 sleep_flag, +2 bat_mode (beide nicht serviert)"
30020,mppt1_voltage,mppt1_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F54,hoch,10 V,10 V,100,100,100,100,100,100,100,,,0,65521,1323,21,"MPPT-Struct Stride 6, Feld +0. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV1_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30021,mppt2_voltage,mppt2_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F5A,hoch,10 V,10 V,100,100,99,99,99,99,99,,,46,100,1320,21,"MPPT-Struct Stride 6, Feld +0. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV2_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30022,mppt3_voltage,mppt3_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F60,hoch,10 V,10 V,100,100,99,99,99,99,99,,,47,100,1320,21,"MPPT-Struct Stride 6, Feld +0. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV3_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30023,mppt4_voltage,mppt4_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F66,hoch,9.9 V,9.9 V,99,99,99,99,99,99,99,,,44,100,1320,21,"MPPT-Struct Stride 6, Feld +0. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV4_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30024,mppt1_current,mppt1_current,A,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F56,hoch,0 A,0 A,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +2 (aus Pointer-Stride abgeleitet). Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV1_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30025,mppt2_current,mppt2_current,A,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F5C,hoch,0 A,0 A,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +2. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV2_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30026,mppt3_current,mppt3_current,A,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F62,hoch,0 A,0 A,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +2. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV3_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30027,mppt4_current,mppt4_current,A,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F68,hoch,0 A,0 A,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +2. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV4_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30028,inv_bat_voltage,dc_bus_voltage_2,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F7C,hoch,,,,,533,,503,509,543,,,313,558,1223,15,Inverter-Struct 0x20014F4C+0x30 'bat_vol_0.1V'. Live 533=53.3V
30029,inv_bat_current,battery_power_factor,A,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20014F7E,hoch,-2.1 A,1.3 A,65515,13,65535,65515,65517,65535,1,,,0,65535,1323,21,Inverter-Struct +0x32 'bat_cur_0.1A'. Live -1 (Idle)
30030,config_word_2000018A,,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x2000018A,niedrig,,,0,0,0,0,0,0,0,0,,0,99,1421,26,Kern-Global 0x2000018A. Writer Modbus_StoreValue16 (CAN fc 0xfe) -> per CAN/Modbus gesetzter Konfigurationswert
30031,inv_slot8_38,,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20014F84,niedrig,,,0,0,0,0,0,0,0,0,,0,99,1421,26,"Inverter-Struct 0x20014F4C+0x38, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30032,inv_slot8_3a,,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20014F86,niedrig,,,0,0,0,0,0,0,0,0,,0,99,1422,26,"Inverter-Struct 0x20014F4C+0x3a, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30033,inv_slot8_3c,,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20014F88,niedrig,,,0,0,0,0,0,0,0,0,0,0,0,1440,27,"Inverter-Struct 0x20014F4C+0x3c, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30034,inv_slot8_3e,,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20014F8A,niedrig,,,0,0,0,0,0,0,0,0,0,0,0,1440,27,"Inverter-Struct 0x20014F4C+0x3e, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
