register,name,unit,type,type_code,scale,scale_str,elem_size,count,source_ptr_v150,source_ptr_v1492,confidence,notes
30000,bat_sample_volt,V,u16,0x02,0,x1,2,1,0x20014EBA,0x20014EAE,hoch,Struct +0x1e 'bat_sample_volt(0.1V)'
30001,bat_sample_power,W,i16,0x12,0,x1,2,1,0x20014EB8,0x20014EAC,hoch,"Struct +0x1c 'bat_sample_power(1W)', i16, negativ = Entladung. Alias 32102"
30002,env_temp,degC,i16,0x12,0,x1,2,1,0x20014EBC,0x20014EB0,hoch,Struct +0x20 'env_temp(0.1C)'. Alias 35000
30003,radiator_temp,degC,i16,0x12,0,x1,2,1,0x20014EBE,0x20014EB2,hoch,Struct +0x22 'radiator_temp(0.1C)'. Alias 35001/35002
30004,grid_volt,V,u16,0x02,0,x1,2,1,0x20014EAC,0x20014EA0,hoch,Struct +0x10 'grid_volt(0.1V)'. Alias 32200/32201
30005,off_grid_volt,V,u16,0x02,0,x1,2,1,0x20014EB0,0x20014EA4,hoch,Struct +0x14 'off_grid_volt(0.1V)'. Alias 32300/32301
30006,grid_sample_power,W,i16,0x12,0,x1,2,1,0x20014EB4,0x20014EA8,hoch,Struct +0x18 'grid_sample_power(1W)'. Alias 32202/37004
30007,off_grid_power,W,i16,0x12,0,x1,2,1,0x20014EB6,0x20014EAA,hoch,Struct +0x1a 'off_grid_power(1W)'. Alias 32302
30010,work_mode,,u8,0x01,0,x1,2,1,0x20000144,0x20000144,hoch,"0x20000144 'work_mode'; +1 sleep_flag, +2 bat_mode (beide nicht serviert)"
30020,mppt1_voltage,V,u16,0x02,0,x1,2,1,0x20014F54,0x20014F48,hoch,"MPPT-Struct Stride 6, Feld +0"
30021,mppt2_voltage,V,u16,0x02,0,x1,2,1,0x20014F5A,0x20014F4E,hoch,"MPPT-Struct Stride 6, Feld +0"
30022,mppt3_voltage,V,u16,0x02,0,x1,2,1,0x20014F60,0x20014F54,hoch,"MPPT-Struct Stride 6, Feld +0"
30023,mppt4_voltage,V,u16,0x02,0,x1,2,1,0x20014F66,0x20014F5A,hoch,"MPPT-Struct Stride 6, Feld +0"
30024,mppt1_current,A,u16,0x02,0,x1,2,1,0x20014F56,0x20014F4A,hoch,MPPT-Struct Feld +2 (aus Pointer-Stride abgeleitet)
30025,mppt2_current,A,u16,0x02,0,x1,2,1,0x20014F5C,0x20014F50,hoch,MPPT-Struct Feld +2
30026,mppt3_current,A,u16,0x02,0,x1,2,1,0x20014F62,0x20014F56,hoch,MPPT-Struct Feld +2
30027,mppt4_current,A,u16,0x02,0,x1,2,1,0x20014F68,0x20014F5C,hoch,MPPT-Struct Feld +2
30028,inv_bat_voltage,V,u16,0x02,0,x1,2,1,0x20014F7C,0x20014F70,hoch,Inverter-Struct 0x20014F4C+0x30 'bat_vol_0.1V'. Live 533=53.3V
30029,inv_bat_current,A,i16,0x12,0,x1,2,1,0x20014F7E,0x20014F72,hoch,Inverter-Struct +0x32 'bat_cur_0.1A'. Live -1 (Idle)
30030,config_word_2000018A,,u16,0x02,0,x1,2,1,0x2000018A,0x2000018A,niedrig,Kern-Global 0x2000018A. Writer Modbus_StoreValue16 (CAN fc 0xfe) -> per CAN/Modbus gesetzter Konfigurationswert
30031,inv_slot8_38,,u16,0x02,0,x1,2,1,0x20014F84,0x20014F78,niedrig,"Inverter-Struct 0x20014F4C+0x38, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30032,inv_slot8_3a,,u16,0x02,0,x1,2,1,0x20014F86,0x20014F7A,niedrig,"Inverter-Struct 0x20014F4C+0x3a, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30033,inv_slot8_3c,,u16,0x02,0,x1,2,1,0x20014F88,0x20014F7C,niedrig,"Inverter-Struct 0x20014F4C+0x3c, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30034,inv_slot8_3e,,u16,0x02,0,x1,2,1,0x20014F8A,0x20014F7E,niedrig,"Inverter-Struct 0x20014F4C+0x3e, befuellt via Modbus_StoreRegisterSlot (CAN fc 0x03, Slot 8). Von MPPT_Debug_Print nicht ausgegeben -> kein Klartextname im Image"
30035,inv_boundary_20014F8C,,i16,0x12,0,x1,2,1,0x20014F8C,0x20014F80,niedrig,"0x20014F8C, Grenze Inverter-Struct/BMS-Aggregat. Befuellt via Modbus_StorePairSlot (CAN fc 0xff, Slot 2)"
30036,inv_base_voltage,V,u16,0x02,0,x1,2,1,0x20014F80,0x20014F74,mittel,Inverter-Struct +0x34 'base_vol_0.01V' (interne/PE-Referenz). Live 219=2.19V
30037,mppt1_power,W,u16,0x02,0,x1,2,1,0x20014F58,0x20014F4C,hoch,MPPT-Struct Feld +4; Alias 37017
30038,mppt2_power,W,u16,0x02,0,x1,2,1,0x20014F5E,0x20014F52,hoch,MPPT-Struct Feld +4; Alias 37018
30039,mppt3_power,W,u16,0x02,0,x1,2,1,0x20014F64,0x20014F58,hoch,MPPT-Struct Feld +4; Alias 37019
30040,mppt4_power,W,u16,0x02,0,x1,2,1,0x20014F6A,0x20014F5E,hoch,MPPT-Struct Feld +4; Alias 37020
30100,pack1_bat_volt_mirror,,u16,0x02,0,x1,2,1,0x20014FB4,0x20014FA8,mittel,identische Quelle wie 34000 (Pack0-Struct +0x00)
30101,pack1_bat_curr_mirror,,i16,0x12,0,x1,2,1,0x20014FB6,0x20014FAA,mittel,identische Quelle wie 34001 (Pack0-Struct +0x02)
30102,pack1_max_cell_voltage_mirror,,u16,0x02,0,x1,2,1,0x20014FC4,0x20014FB8,mittel,"identische Quelle wie 34005/37007 (Pack0-Struct +0x10), Rohwert mV"
30103,pack1_min_cell_voltage_mirror,,u16,0x02,0,x1,2,1,0x20014FC6,0x20014FBA,mittel,"identische Quelle wie 34006/37008 (Pack0-Struct +0x12), Rohwert mV"
30104,pack1_max_cell_temp,degC,i16,0x12,1,x10,2,1,0x20014FC8,0x20014FBC,mittel,"Pack1-Struct +0x14 (direkt nach min_cell_voltage). FW multipliziert x10 -> Anzeige 0.01 degC. Uebereinstimmend: alte Live-Map 'max_cell_temp_hp', Read-Handler-Map, BLE-DevelopMode. Alias 37006"
30105,pack1_min_cell_temp,degC,i16,0x12,1,x10,2,1,0x20014FCA,0x20014FBE,mittel,"Pack1-Struct +0x16. FW multipliziert x10 -> Anzeige 0.01 degC. Uebereinstimmend: alte Live-Map 'cell_temp_hp_2', Read-Handler-Map '35011=min_cell_temperature'. Alias 35011"
30106,pack1_temp_3_mirror,degC,u16,0x02,0,x1,2,1,0x20015002,0x20014FF6,niedrig,"Alias 34017 (Pack1-Struct +0x4e), Live meist 0"
