"ble_offset","app_field","sram","modbus","herkunft","nur"
"0","BackupLoadPower","0x20014EB6","30007,32202,32302","",""
"2","AcOutputPower","0x20014EB4","30006,32202,37004","",""
"4","InverterState","0x20014E9C","35100","",""
"5","","0x20001F4C","30300","",""
"6","","","","1","nur BLE"
"7","CTConnected","0x2001A83C","","","nur BLE"
"8","","","","uVar4","nur BLE"
"11","SoC","","","uVar4","nur BLE"
"12","","0x20014CF6","","","nur BLE"
"14","DailyEnergyIn","","","DAT_0800b450+0x14 /10","nur BLE"
"18","MonthlyEnergyIn","0x20014DA4","33008","",""
"22","DailyEnergyOut","","","DAT_0800b450+0x18 /10","nur BLE"
"26","MonthlyEnergyOut","","","DAT_0800b450+0x10 /10","nur BLE"
"30","","","","0","nur BLE"
"34","","","","0","nur BLE"
"36","","","","0","nur BLE"
"38","WorkMode","0x20014D02","43101","",""
"39","","0x20014DCC","41505","",""
"40","","","","0","nur BLE"
"41","TotalEnergyIn","","","DAT_0800b450+4 /10","nur BLE"
"45","TotalEnergyOut","","","DAT_0800b450+8 /10","nur BLE"
"49","BackupPower","","","*DAT_0800b454","nur BLE"
"51","","","","DAT_0800b458+0x6e8","nur BLE"
"53","","","","0","nur BLE"
"57","","","","0","nur BLE"
"61","","0x20001F4E","","","nur BLE"
"62","","0x20014E2C","","","nur BLE"
"63","","","","0","nur BLE"
"67","","","","0","nur BLE"
"71","","0x20000136","","","nur BLE"
"72","ChargePowerLimit","0x2000012D","","","nur BLE"
"74","DischargePowerLimit","0x2000012F","","","nur BLE"
"76","CTType","0x20014DD0","41507","",""
"77","Phase","0x20014DD2","41508","",""
"78","CTMode","0x20014DCE","41506","",""
"79","","0x20014FB0","","","nur BLE"
"94","","0x200002A6","","","nur BLE"
"95","","","","uVar4","nur BLE"
"96","","0x20014DD4","41509","",""
"97","","0x20014DD8","41511","",""
"99","","","","uVar4","nur BLE"
"100","","0x20014DE0","41515","",""
"101","","0x20014DE2","41600","",""
"102","","0x2001ADC1","","","nur BLE"
"103","","0x2000015E","30202","",""
"105","","0x20014D72","","","nur BLE"
"107","MPPT1Power","","","MPPT1 Leistung (fp)","nur BLE"
"109","MPPT1Enabled","","","MPPT1 aktiv","nur BLE"
"110","MPPT2Power","","","MPPT2 Leistung (fp)","nur BLE"
"112","MPPT2Enabled","","","MPPT2 aktiv","nur BLE"
"113","MPPT3Power","","","MPPT3 Leistung (fp)","nur BLE"
"115","MPPT3Enabled","","","MPPT3 aktiv","nur BLE"
"116","MPPT4Power","","","MPPT4 Leistung (fp)","nur BLE"
"118","MPPT4Enabled","","","MPPT4 aktiv","nur BLE"
"119","","0x20014F93","","","nur BLE"
"120","","0x20014F99","32110","",""
"121","","0x20014F9B","32111","",""
"122","","0x20000188","30205","",""
"124","","0x20014F6C","","","nur BLE"
"128","","0x20014F74","","","nur BLE"
"132","","0x20014FA5","","","nur BLE"
"133","SurplusFeedIn","0x20014DEA","41604","",""
"134","","0x20000285","","","nur BLE"
"135","","0x20018B85","","","nur BLE"
"136","","","","0","nur BLE"
"137","","","","0","nur BLE"
"138","","","","DAT_0800b484+0xe4","nur BLE"
"139","","","","DAT_0800b484+0xe5","nur BLE"
"140","BatteryPower","","","BERECHNET: 32100(0.01V) x 32101(0.1A)","nur BLE"
"142","","","","BERECHNET: MPPT-Summe/10 - s10","nur BLE"
"144","GridPower","","","BERECHNET: s10 - off_grid_power","nur BLE"
"146","","","","BERECHNET: s10","nur BLE"
"148","BluetoothEnabled","0x20018B5D","","","nur BLE"
"149","DepthOfDischarge","","","uVar4","nur BLE"
"150","","0x20014D83","","","nur BLE"
"152","LEDLight","0x20000EFC","","","nur BLE"
"153","","0x200002AC","","","nur BLE"
"157","","0x200002AE","","","nur BLE"
"161","","0x20000FB4","","","nur BLE"
"","","0x20014EBA","30000","bat_sample_volt","nur Modbus"
"","","0x20014EB8","30001","bat_sample_power","nur Modbus"
"","","0x20014EBC","30002","env_temp","nur Modbus"
"","","0x20014EBE","30003","radiator_temp","nur Modbus"
"","","0x20014EAC","30004","grid_volt","nur Modbus"
"","","0x20014EB0","30005","off_grid_volt","nur Modbus"
"","","0x20000144","30010","work_mode","nur Modbus"
"","","0x20014F54","30020","mppt1_voltage","nur Modbus"
"","","0x20014F5A","30021","mppt2_voltage","nur Modbus"
"","","0x20014F60","30022","mppt3_voltage","nur Modbus"
"","","0x20014F66","30023","mppt4_voltage","nur Modbus"
"","","0x20014F56","30024","mppt1_current","nur Modbus"
"","","0x20014F5C","30025","mppt2_current","nur Modbus"
"","","0x20014F62","30026","mppt3_current","nur Modbus"
"","","0x20014F68","30027","mppt4_current","nur Modbus"
"","","0x20014F7C","30028","inv_bat_voltage","nur Modbus"
"","","0x20014F7E","30029","inv_bat_current","nur Modbus"
"","","0x2000018A","30030","config_word_2000018A","nur Modbus"
"","","0x20014F84","30031","inv_slot8_38","nur Modbus"
"","","0x20014F86","30032","inv_slot8_3a","nur Modbus"
"","","0x20014F88","30033","inv_slot8_3c","nur Modbus"
"","","0x20014F8A","30034","inv_slot8_3e","nur Modbus"
"","","0x20014F8C","30035","inv_boundary_20014F8C","nur Modbus"
"","","0x20014F80","30036","inv_base_voltage","nur Modbus"
"","","0x20014F58","30037","mppt1_power","nur Modbus"
"","","0x20014F5E","30038","mppt2_power","nur Modbus"
"","","0x20014F64","30039","mppt3_power","nur Modbus"
"","","0x20014F6A","30040","mppt4_power","nur Modbus"
"","","0x20014FB4","30100","pack1_bat_volt_mirror","nur Modbus"
"","","0x20014FB6","30101","pack1_bat_curr_mirror","nur Modbus"
"","","0x20014FC4","30102","pack1_max_cell_voltage_mirror","nur Modbus"
"","","0x20014FC6","30103","pack1_min_cell_voltage_mirror","nur Modbus"
"","","0x20014FC8","30104","pack1_max_cell_temp","nur Modbus"
"","","0x20014FCA","30105","pack1_min_cell_temp","nur Modbus"
"","","0x20015002","30106","pack1_temp_3_mirror","nur Modbus"
"","","0x20014FFE","30107","pack1_temp_1_mirror","nur Modbus"
"","","0x20015000","30108","pack1_temp_2_mirror","nur Modbus"
"","","0x20014FAC","30109","bms_factory_test","nur Modbus"
"","","0x20014FAF","30110","config_setpoint_mirror","nur Modbus"
"","","0x08010000","30200","ems_ver","nur Modbus"
"","","0x20000038","30201","ems_boot_ver","nur Modbus"
"","","0x20000160","30203","vns_boot_ver","nur Modbus"
"","","0x20014FD2","30204","bms_ver","nur Modbus"
"","","0x20014FC2","30210","pack1_mos_status_mirror","nur Modbus"
