Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,scan5_6pack_charge2kW_peaktemp,Confidence,Notes
30000,dc_bus_voltage_1,DC bus voltage (point 1),uint16,0.1,V,509,530,523,545,543,📊 multi-scan,
30001,battery_power,Battery power (neg=discharge),int16,1,W,65526,65525,64992,2039,2030,✅ confirmed,"int16: +2039W(charge), -11W(standby), -544W(discharge)"
30002,internal_temp_filtered,Inverter-Innentemperatur (Spiegel 35000),int16,0.1,°C,179,240,246,325,513,✅ 6-Pack-Test,"Spiegel von 35000. Langzeit: 50-54°C bei 2kW, 37°C bei 1.4kW, 30°C bei 440W. Korreliert direkt mit Ladeleistung"
30003,mos_temp_filtered,MOS-Temperatur (Spiegel 35001),int16,0.1,°C,181,243,248,334,542,✅ 6-Pack-Test,Spiegel von 35001. Peak 54.2°C bei 2kW Dauerlast. ~2°C über 30002/35000
30004,ac_voltage,AC grid voltage,uint16,0.1,V,2410,2393,2408,2396,2409,✅ confirmed,Mirrors 32200; scan4: 2396≈2395(32200)
30005,backup_voltage,Backup-Ausgangsspannung,uint16,0.1,V,2,4,9,5,8,🔍 Vermutung → ✅ Backup-Test,Ohne Backup: ~1V (inaktiv). Mit Backup: 236-242V. Spannungsabfall unter Last: 242V@100W → 237V@3kW. Vorher fälschlich als comm_queue_depth vermutet
30006,ac_power,AC Inverter-Ausgangsleistung (int16),int16,1,W,0,0,500,63364,63363,✅ confirmed,"int16: negativ=Netzbezug(Laden), positiv=Ausgang(Entladen), 0=Idle. ACHTUNG: Ohne Backup = Grid-Einspeisung. Mit Backup: tatsächliche Netzleistung = 30006 - 30007. Backup-Test: 30006 bleibt ~2208W konstant auch bei 3kW Backup-Last"
30007,backup_power,Backup-Ausgangsleistung,uint16,1,W,0,0,0,0,0,✅ Backup-Test,Ohne Backup: immer 0. Mit Backup: 0-3271W je nach Last am Backup-Ausgang. Wenn >30006 → Differenz wird aus dem Netz gezogen
30010,,,,,,0,0,0,0,0,❓ unknown,
30020,mppt1_voltage,MPPT1 voltage,uint16,0.1,V,99,99,99,100,101,📊 scan,
30021,mppt2_voltage,MPPT2 voltage,uint16,0.1,V,99,99,99,99,100,📊 scan,
30022,mppt3_voltage,MPPT3 voltage,uint16,0.1,V,99,99,99,99,100,📊 scan,
30023,mppt4_voltage,MPPT4 voltage,uint16,0.1,V,98,99,99,99,100,📊 scan,
30024,mppt1_current,MPPT1 current,uint16,0.1,A,0,0,0,0,0,📊 scan,
30025,mppt2_current,MPPT2 current,uint16,0.1,A,0,0,0,0,0,📊 scan,
30026,mppt3_current,MPPT3 current,uint16,0.1,A,0,0,0,0,0,📊 scan,
30027,mppt4_current,MPPT4 current,uint16,0.1,A,0,0,0,0,0,📊 scan,
30028,dc_bus_voltage_2,DC bus voltage (point 2),uint16,0.1,V,513,534,527,547,546,📊 multi-scan,Tracks active pack voltage; slightly higher than 30000
30029,battery_power_factor,Leistungsfaktor/Skalierung,int16,1,-,65535,65534,65531,11,12,🔍 Vermutung,"int16; proportional zu battery_power aber kein linearer Faktor: 2035W→12, 1260W→6, 480W→1, idle→-1"
30030,,,,,,0,0,0,0,0,❓ unknown,
30031,,,,,,0,0,0,0,0,❓ unknown,
30032,,,,,,0,0,0,0,0,❓ unknown,
30033,,,,,,0,0,0,0,0,❓ unknown,
30034,,,,,,0,0,0,0,0,❓ unknown,
30035,,,,,,0,0,0,0,0,❓ unknown,
30036,hardware_version,Hardware Version?,uint16,1,-,219,219,219,219,219,🔍 Vermutung,Konstant 219 über alle Scans; evtl. HW-Revision oder Konfigurationsparameter
30037,mppt1_power,MPPT1 power,uint16,0.1,W,0,0,0,0,0,📊 scan,
30038,mppt2_power,MPPT2 power,uint16,0.1,W,0,0,0,0,0,📊 scan,
30039,mppt3_power,MPPT3 power,uint16,0.1,W,0,0,0,0,0,📊 scan,
30040,mppt4_power,MPPT4 power,uint16,0.1,W,0,0,0,0,0,📊 scan,
30100,battery_voltage,Battery voltage,uint16,0.01,V,5114,5322,5322,5291,5429,📊 scan,
30101,pack1_current_mirror,Pack 1 Strom Spiegel (=34001),int16,0.1,A,0,0,0,0,377,🔍 Vermutung,"Discharge-Steps: exakt =34001 wenn Pack1 aktiv, =0 wenn anderer Pack aktiv. Kein System-Strom sondern Pack1-Mirror"
30102,pack1_cell_v_max_mirror,Pack 1 max cell voltage (mirror of 34005),uint16,0.001,V,3198,3327,3327,3308,3396,📊 multi-scan,Matches 34005 within 1
30103,pack1_cell_v_min_mirror,Pack 1 min cell voltage (mirror of 34006),uint16,0.001,V,3194,3326,3325,3306,3390,📊 multi-scan,Matches 34006 within 1
30104,max_cell_temp_hp,Max cell temp (high precision),uint16,0.01,°C,1950,2290,2300,2760,3030,📊 multi-scan,≈ 35010 × 10; 0.01°C precision
30105,cell_temp_hp_2,Cell temp 2 (high precision),uint16,0.01,°C,1920,2270,2290,2670,2970,📊 multi-scan,≈ 35011 × 10
30106,,,,,,0,0,0,0,0,❓ unknown,
30107,pack1_ntc0_mirror,Pack 1 NTC 0 (mirror of 34011),uint16,0.1,°C,264,299,298,335,403,📊 multi-scan,Matches 34011 within 1-3
30108,pack1_ntc1_mirror,Pack 1 NTC 1 (mirror of 34012),uint16,0.1,°C,199,234,235,322,396,📊 multi-scan,Matches 34012 within 1-3
30109,,,,,,0,0,0,0,0,❓ unknown,
30110,,,,,,0,0,0,0,0,❓ unknown,
30200,ems_version,EMS firmware version (x10),uint16,1,-,147,147,147,147,1492,✅ OTA-confirmed,OTA: EMS:142→147→148→149.2 (1492). Ab FW149 als x10 codiert: 1492=v149.2. Einziges Register das sich beim FW-Update ändert; MPPT/VNS/BMS blieben unverändert
30201,ems_build,EMS Build oder unbekanntes FW-Modul(?),uint16,1,-,18,18,18,18,18,🔍 Vermutung,"Konstant 18; nicht in OTA sichtbar. Evtl. Build-Suffix, oder Version eines unbekannten FW-Moduls (Flash-Bereiche ohne Zuordnung existieren)"
30202,vns_version,VNS firmware version,uint16,-,-,115,115,115,115,115,✅ OTA-confirmed,OTA: VNS:114→115 (App zeigt VNS nicht VMS)
30203,vns_build,VNS Build oder unbekanntes FW-Modul(?),uint16,1,-,106,106,106,106,106,🔍 Vermutung,"Konstant 106; nicht in OTA sichtbar. Evtl. Build-Suffix, oder Version eines unbekannten FW-Moduls"
30204,bms_version,BMS firmware version,uint16,-,-,116,116,116,116,116,✅ OTA-confirmed,OTA: BMS:116 (unverändert)
30205,mppt_version,MPPT firmware version,uint16,1,-,104,104,104,104,104,✅ OTA-confirmed,OTA: MPPT:104 (unverändert). War fälschlich als bms_version_sub geführt
30210,active_pack_charge_status,Spiegel des aktiven Pack charge_status,uint16,1,-,3,0,0,0,3,🔍 Vermutung,Spiegelt 34x04 des gerade ladenden Packs; 0=idle 3=aktiv laden
30211,,,,,,0,0,0,0,0,❓ unknown,
30212,pack_config,Pack-Konfiguration,uint16,1,-,2,5,5,5,5,🔍 Vermutung,"2 bei 4 Packs, 5 bei 6 Packs — hängt von angeschlossener Pack-Anzahl ab, nicht von FW-Version"
30213,,,,,,0,0,0,0,0,❓ unknown,
30214,,,,,,0,0,0,0,0,❓ unknown,
30300,wifi_status,WiFi connected (0/1),uint16,1,-,1,1,1,1,1,📊 scan,
30301,active_inverter_state,Inverter-Zustand/Routing?,uint16,1,-,1,1,1,1,3,🔍 Vermutung,Backup-Test: wechselt 1→2→3→2→3. Korreliert zeitlich mit Pack-Rotation aber kein 1:1-Mapping zum Pack-Index. Nicht Bluetooth! Evtl. Inverter-Routing-State
30302,cloud_status,Cloud connected (0/1),uint16,1,-,0,0,0,0,1,📊 scan,
30303,wifi_signal_strength,WiFi RSSI,uint16,-1,dBm,53,53,56,54,55,📊 scan,Negate raw; 53→-53dBm
30304,mac_address,MAC address (6 regs),char,-,-,13880,13880,13880,13880,13880,📊 scan,30304-30309: AA:BB:CC:DD:EE:FF
30305,,,,,,12852,12852,12852,12852,12852,❓ unknown,
30306,,,,,,14649,14649,14649,14649,14649,❓ unknown,
30307,,,,,,17733,17733,17733,17733,17733,❓ unknown,
30308,,,,,,17975,17975,17975,17975,17975,❓ unknown,
30309,,,,,,13635,13635,13635,13635,13635,❓ unknown,
30350,comm_module_firmware,Comm module FW (6 regs),char,-,-,12848,12848,12848,12848,12848,📊 scan,30350-30355: 20240909_0159
30351,,,,,,12852,12852,12852,12852,12852,❓ unknown,
30352,,,,,,12345,12345,12345,12345,12345,❓ unknown,
30353,,,,,,12345,12345,12345,12345,12345,❓ unknown,
30354,,,,,,12337,12337,12337,12337,12337,❓ unknown,
30355,,,,,,13625,13625,13625,13625,13625,❓ unknown,
30400,ip_address,IP address,uint16,-,-,49320,49320,49320,49320,49320,❓ unknown,30400-30403: IP/gateway?
30401,,,,,,46490,46490,46490,46490,46490,❓ unknown,
30402,,,,,,49320,49320,49320,49320,49320,❓ unknown,
30403,,,,,,46337,46337,46337,46337,46337,❓ unknown,
