Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,Confidence,Notes
30000,dc_bus_voltage_1,DC bus voltage (point 1),uint16,0.1,V,509,530,523,545,📊 multi-scan,
30001,battery_power,Battery power (neg=discharge),int16,1,W,65526,65525,64992,2039,✅ confirmed,"int16: +2039W(charge), -11W(standby), -544W(discharge)"
30002,internal_temp_filtered,Internal temp (filtered/slow),int16,0.1,°C,179,240,246,325,📊 multi-scan,Tracks 35000 closely; lags during fast temp changes
30003,mos_temp_filtered,MOS temp (filtered/slow),int16,0.1,°C,181,243,248,334,📊 multi-scan,Tracks 35001 closely; lags during fast temp changes
30004,ac_voltage,AC grid voltage,uint16,0.1,V,2410,2393,2408,2396,✅ confirmed,Mirrors 32200; scan4: 2396≈2395(32200)
30005,,,,,,2,4,9,5,❓ unknown,Changes 2→4→9 with activity
30006,ac_power,AC output power,int16,1,W,0,0,500,63364,✅ confirmed,"int16: -2172W(charge from grid), 0(standby), +500W(discharge to grid)"
30007,,,,,,0,0,0,0,❓ unknown,
30010,,,,,,0,0,0,0,❓ unknown,
30020,mppt1_voltage,MPPT1 voltage,uint16,0.1,V,99,99,99,100,📊 scan,
30021,mppt2_voltage,MPPT2 voltage,uint16,0.1,V,99,99,99,99,📊 scan,
30022,mppt3_voltage,MPPT3 voltage,uint16,0.1,V,99,99,99,99,📊 scan,
30023,mppt4_voltage,MPPT4 voltage,uint16,0.1,V,98,99,99,99,📊 scan,
30024,mppt1_current,MPPT1 current,uint16,0.1,A,0,0,0,0,📊 scan,
30025,mppt2_current,MPPT2 current,uint16,0.1,A,0,0,0,0,📊 scan,
30026,mppt3_current,MPPT3 current,uint16,0.1,A,0,0,0,0,📊 scan,
30027,mppt4_current,MPPT4 current,uint16,0.1,A,0,0,0,0,📊 scan,
30028,dc_bus_voltage_2,DC bus voltage (point 2),uint16,0.1,V,513,534,527,547,📊 multi-scan,Tracks active pack voltage; slightly higher than 30000
30029,,,,,,65535,65534,65531,11,❓ unknown,int16 small negative; tracks battery_power direction
30030,,,,,,0,0,0,0,❓ unknown,
30031,,,,,,0,0,0,0,❓ unknown,
30032,,,,,,0,0,0,0,❓ unknown,
30033,,,,,,0,0,0,0,❓ unknown,
30034,,,,,,0,0,0,0,❓ unknown,
30035,,,,,,0,0,0,0,❓ unknown,
30036,,,,,,219,219,219,219,❓ unknown,Constant 219 across all scans
30037,mppt1_power,MPPT1 power,uint16,0.1,W,0,0,0,0,📊 scan,
30038,mppt2_power,MPPT2 power,uint16,0.1,W,0,0,0,0,📊 scan,
30039,mppt3_power,MPPT3 power,uint16,0.1,W,0,0,0,0,📊 scan,
30040,mppt4_power,MPPT4 power,uint16,0.1,W,0,0,0,0,📊 scan,
30100,battery_voltage,Battery voltage,uint16,0.01,V,5114,5322,5322,5291,📊 scan,
30101,battery_current,Battery current,int16,0.1,A,0,0,0,0,📊 scan,
30102,pack1_cell_v_max_mirror,Pack 1 max cell voltage (mirror of 34005),uint16,0.001,V,3198,3327,3327,3308,📊 multi-scan,Matches 34005 within 1
30103,pack1_cell_v_min_mirror,Pack 1 min cell voltage (mirror of 34006),uint16,0.001,V,3194,3326,3325,3306,📊 multi-scan,Matches 34006 within 1
30104,max_cell_temp_hp,Max cell temp (high precision),uint16,0.01,°C,1950,2290,2300,2760,📊 multi-scan,≈ 35010 × 10; 0.01°C precision
30105,cell_temp_hp_2,Cell temp 2 (high precision),uint16,0.01,°C,1920,2270,2290,2670,📊 multi-scan,≈ 35011 × 10
30106,,,,,,0,0,0,0,❓ unknown,
30107,pack1_ntc0_mirror,Pack 1 NTC 0 (mirror of 34011),uint16,0.1,°C,264,299,298,335,📊 multi-scan,Matches 34011 within 1-3
30108,pack1_ntc1_mirror,Pack 1 NTC 1 (mirror of 34012),uint16,0.1,°C,199,234,235,322,📊 multi-scan,Matches 34012 within 1-3
30109,,,,,,0,0,0,0,❓ unknown,
30110,,,,,,0,0,0,0,❓ unknown,
30200,ems_version,EMS firmware version,uint16,1,-,147,147,147,147,📊 scan,
30201,,,,,,18,18,18,18,❓ unknown,Constant 18
