Register,Name,Description,DataType,Scale,ScaleCode,Unit,ElementCount,Source,Notes
30000,system_status,System operating status,u16,×1,0,-,1,scan,"Raw=509; system state flags"
30001,battery_power,Battery power (total),i32,×1,0,W,2,scan,"Regs 30001-30002; negative=discharge; BLE: batteryPower (i16 at 0x02)"
30003,pv_power_total,PV total power (inferred),i32,×1,0,W,2,scan,"Regs 30003-30004; raw=181 plausible as low PV"
30005,grid_power_direction,Grid power direction/state,u16,×1,0,-,1,scan,"Raw=2"
30006,ac_power,AC grid power,i32,×1,0,W,2,scan,"Regs 30006-30007; signed; BLE: gridPower (i16 at 0x00)"
30010,unknown_30010,,u16,×1,0,-,1,scan,"Raw=0"
30020,mppt1_voltage,MPPT1 array voltage,u16,÷10,3,V,1,scan,"Scale 0.1"
30021,mppt2_voltage,MPPT2 array voltage,u16,÷10,3,V,1,scan,"Scale 0.1"
30022,mppt3_voltage,MPPT3 array voltage,u16,÷10,3,V,1,scan,"Scale 0.1"
30023,mppt4_voltage,MPPT4 array voltage,u16,÷10,3,V,1,scan,"Scale 0.1"
30024,mppt1_current,MPPT1 array current,u16,÷10,3,A,1,scan,"Scale 0.1"
30025,mppt2_current,MPPT2 array current,u16,÷10,3,A,1,scan,"Scale 0.1"
30026,mppt3_current,MPPT3 array current,u16,÷10,3,A,1,scan,"Scale 0.1"
30027,mppt4_current,MPPT4 array current,u16,÷10,3,A,1,scan,"Scale 0.1"
30028,unknown_30028,,u16,×1,0,-,1,scan,"Raw=513 (0x0201)"
30029,unknown_30029,,u16,×1,0,-,1,scan,"Raw=65535 (0xFFFF)"
30030,unknown_30030,,u16,×1,0,-,1,scan,"Raw=0"
30031,unknown_30031,,u16,×1,0,-,1,scan,"Raw=0"
30032,unknown_30032,,u16,×1,0,-,1,scan,"Raw=0"
30033,unknown_30033,,u16,×1,0,-,1,scan,"Raw=0"
30034,unknown_30034,,u16,×1,0,-,1,scan,"Raw=0"
30035,unknown_30035,,u16,×1,0,-,1,scan,"Raw=0"
30036,unknown_30036,,u16,×1,0,-,1,scan,"Raw=219"
30037,mppt1_power,MPPT1 array power,u16,÷10,3,W,1,scan,"Scale 0.1"
30038,mppt2_power,MPPT2 array power,u16,÷10,3,W,1,scan,"Scale 0.1"
30039,mppt3_power,MPPT3 array power,u16,÷10,3,W,1,scan,"Scale 0.1"
30040,mppt4_power,MPPT4 array power,u16,÷10,3,W,1,scan,"Scale 0.1"
30100,battery_voltage,Battery pack voltage,u16,÷100,4,V,1,FW-verified,"Scale 0.01"
30101,battery_current,Battery current,i16,÷10,3,A,1,FW-verified,"Scale 0.1; negative=discharge"
30102,max_cell_voltage_aggregate,Max cell voltage across all packs,u16,×1,0,-,1,scan,"Raw=3198→3.198V; matches BLE cell voltage range"
30103,min_cell_voltage_aggregate,Min cell voltage across all packs,u16,×1,0,-,1,scan,"Raw=3194→3.194V"
30104,unknown_30104,,u16,×1,0,-,1,scan,"Raw=1950"
30105,unknown_30105,,u16,×1,0,-,1,scan,"Raw=1920"
30106,unknown_30106,,u16,×1,0,-,1,scan,"Raw=0"
30107,unknown_30107,,u16,×1,0,-,1,scan,"Raw=264"
30108,unknown_30108,,u16,×1,0,-,1,scan,"Raw=199"
30109,unknown_30109,,u16,×1,0,-,1,scan,"Raw=0"
30110,unknown_30110,,u16,×1,0,-,1,scan,"Raw=0"
30200,ems_version,EMS firmware version,u16,×1,0,-,1,scan,"Raw=147 → v1.47 oder v147; BLE: deviceFwVersion (u16 at 0x0C)"
30201,unknown_30201,,u16,×1,0,-,1,scan,"Raw=18"
30202,vms_version,VMS firmware version,u16,×1,0,-,1,scan,"Raw=115"
30203,unknown_30203,,u16,×1,0,-,1,scan,"Raw=106"
30204,bms_version,BMS firmware version,u16,×1,0,-,1,scan,"Raw=116"
30205,unknown_30205,,u16,×1,0,-,1,scan,"Raw=104"
30210,unknown_30210,,u16,×1,0,-,1,scan,"Raw=3"
30211,unknown_30211,,u16,×1,0,-,1,scan,"Raw=0"
30212,unknown_30212,,u16,×1,0,-,1,scan,"Raw=2"
30213,unknown_30213,,u16,×1,0,-,1,scan,"Raw=0"
30214,unknown_30214,,u16,×1,0,-,1,scan,"Raw=0"
30300,wifi_status,WiFi connected (0/1),u16,×1,0,-,1,scan,"1=connected"
30301,bluetooth_status,Bluetooth status,u16,×1,0,-,1,scan,"1=connected"
30302,cloud_status,Cloud connected (0/1),u16,×1,0,-,1,scan,"0=disconnected"
30303,wifi_signal_strength,WiFi RSSI (negated),u16,negate,5,dBm,1,scan,"Scale negate; raw=53→-53 dBm; BLE: wifiRssi (u8 at 0x3D)"
30304,mac_address,MAC address (ASCII),ASCII,-,-,-,6,scan,"6 regs (30304-30309); each reg=2 ASCII chars"
30350,comm_module_firmware,Communication module FW version (ASCII),ASCII,-,-,-,6,scan,"6 regs (30350-30355); decoded: 20240909_0159"
30400,device_ip_high,Device IP address high bytes,u16,×1,0,-,1,scan,"Raw=0xC0A8=192.168; BLE: NetworkInfo cmd 0x24"
30401,device_ip_low,Device IP address low bytes,u16,×1,0,-,1,scan,"Raw=46490"
30402,gateway_ip_high,Gateway IP high bytes,u16,×1,0,-,1,scan,"Raw=49320 (0xC0A8)"
30403,gateway_ip_low,Gateway IP low bytes,u16,×1,0,-,1,scan,"Raw=46337"
31000,device_name,Device name (ASCII),ASCII,-,-,-,10,scan,"10 regs (31000-31009); VNSD-0 + null padding"
32105,battery_total_energy,Total stored energy (battery capacity),u16,÷1000,0,kWh,1,FW-verified,"Scale custom: raw/1000; raw=5120→5.12 kWh"
32200,ac_voltage,AC grid voltage,u16,÷10,3,V,1,FW-verified,"Scale 0.1; BLE: acVoltage (u16 at 0x03)"
32204,ac_frequency,AC grid frequency,i16,÷10,3,Hz,1,FW-verified,"Scale 0.1; BLE: lineFrequency (u16 at 0x01)"
32300,ac_offgrid_voltage,AC offgrid/backup voltage,u16,÷10,3,V,1,FW-verified,"Scale 0.1; near 0 = offgrid off"
32301,ac_offgrid_current,AC offgrid/backup current,u16,÷100,4,A,1,FW-verified,"Scale 0.01"
32302,ac_offgrid_power,AC offgrid/backup power,i32,×1,0,W,2,FW-verified,"Regs 32302-32303"
33000,total_charging_energy,Total lifetime charging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33000-33001; scale 0.01; BLE: totalCharge (u32 at 0x29, /100)"
33002,total_discharging_energy,Total lifetime discharging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33002-33003; scale 0.01; BLE: totalDischarge (u32 at 0x2D, /100)"
33004,daily_charging_energy,Daily charging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33004-33005; scale 0.01; BLE: dailyCharge (u32 at 0x0E, /100)"
33006,daily_discharging_energy,Daily discharging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33006-33007; scale 0.01; BLE: dailyDischarge (u32 at 0x0E, /100)"
33008,monthly_charging_energy,Monthly charging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33008-33009; scale 0.01; BLE: monthlyCharge (u32 at 0x12, /1000)"
33010,monthly_discharging_energy,Monthly discharging energy,u32,÷100,4,kWh,2,FW-verified,"Regs 33010-33011; scale 0.01; BLE: monthlyDischarge (u32 at 0x1A, /100)"
34000,pack1_voltage,Battery pack 1 voltage,u16,÷100,4,V,1,FW-verified,"Scale 0.01; BLE: BMSData voltage (u16 at 0x0E, /100)"
34001,pack1_current,Battery pack 1 current,i16,÷10,3,A,1,FW-verified,"Scale 0.1; BLE: BMSData current (i16 at 0x10, /10)"
34002,pack1_soc,Battery pack 1 SOC,u16,÷10,3,%,1,FW-verified,"WICHTIG: Scale 0.1 (nicht 1!); BLE: BMSData remainingCapacity=SOC (u16 at 0x08)"
34003,pack1_cycle_count,Battery pack 1 cycle count,u16,×1,0,-,1,FW-verified,"BLE: BMSData b_cpc=cycleCount (u16 at 0x18)"
34004,pack1_max_cell_voltage,Pack 1 max cell voltage,u16,÷1000,0,V,1,FW-verified,"Scale 0.001"
34005,pack1_unknown_34005,Pack 1 unknown (max cell V related?),u16,÷1000,0,V,1,FW-verified,"Raw=3199"
34006,pack1_min_cell_voltage,Pack 1 min cell voltage,u16,÷1000,0,V,1,FW-verified,"Scale 0.001"
34007,pack1_max_ntc,Pack 1 max NTC temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1"
34008,pack1_protect1,Pack 1 protection flags 1,u16,×1,0,bitmask,1,FW-verified,"Bit-encoded protection status"
34009,pack1_protect2,Pack 1 protection flags 2,u16,×1,0,bitmask,1,FW-verified,"Bit-encoded protection status"
34010,pack1_bms_version,Pack 1 BMS firmware version,u16,×1,0,-,1,FW-verified,"BLE: BMSData bmsVersion (u16 at 0x00)"
34011,pack1_cell_ntc_0,Pack 1 cell NTC sensor 0,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: BMSData temperature1 (u16 at 0x28)"
34012,pack1_cell_ntc_1,Pack 1 cell NTC sensor 1,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: BMSData temperature2 (u16 at 0x2A)"
34013,pack1_cell_ntc_2,Pack 1 cell NTC sensor 2,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: BMSData temperature3 (u16 at 0x2C)"
34014,pack1_cell_ntc_3,Pack 1 cell NTC sensor 3,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: BMSData temperature4 (u16 at 0x2E)"
34015,pack1_mos_ntc,Pack 1 MOSFET NTC temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: BMSData mosfetTemperature (u16 at 0x26)"
34016,pack1_env_ntc,Pack 1 environment NTC temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1"
34017,pack1_avg_ntc,Pack 1 average NTC temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1"
34018,pack1_cell_1_voltage,Pack 1 cell 1 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[0] (u16 at 0x30, /1000)"
34019,pack1_cell_2_voltage,Pack 1 cell 2 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[1] (u16 at 0x32, /1000)"
34020,pack1_cell_3_voltage,Pack 1 cell 3 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[2] (u16 at 0x34, /1000)"
34021,pack1_cell_4_voltage,Pack 1 cell 4 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[3] (u16 at 0x36, /1000)"
34022,pack1_cell_5_voltage,Pack 1 cell 5 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[4] (u16 at 0x38, /1000)"
34023,pack1_cell_6_voltage,Pack 1 cell 6 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[5] (u16 at 0x3A, /1000)"
34024,pack1_cell_7_voltage,Pack 1 cell 7 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[6] (u16 at 0x3C, /1000)"
34025,pack1_cell_8_voltage,Pack 1 cell 8 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[7] (u16 at 0x3E, /1000)"
34026,pack1_cell_9_voltage,Pack 1 cell 9 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[8] (u16 at 0x40, /1000)"
34027,pack1_cell_10_voltage,Pack 1 cell 10 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[9] (u16 at 0x42, /1000)"
34028,pack1_cell_11_voltage,Pack 1 cell 11 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[10] (u16 at 0x44, /1000)"
