Register,08:47:41,08:48:02,08:48:24
30000,522,523,524
30001,65502,65502,65502
30002,308,306,304
30003,330,328,326
30004,2403,2403,2404
30005,2395,2392,2394
30006,0,0,0
30007,124,123,122
30010,0,0,0
30020,80,84,87
30021,83,86,89
30022,84,88,90
30023,80,83,86
30024,0,0,0
30025,0,0,0
30026,0,0,0
30027,0,0,0
30028,526,526,526
30029,65535,65535,65535
30030,0,0,0
30031,0,0,0
30032,0,0,0
30033,0,0,0
30034,0,0,0
30035,0,0,0
30036,219,219,219
30037,0,0,0
30038,0,0,0
30039,0,0,0
30040,0,0,0
30100,5253,5253,5253
30101,0,0,0
30102,3284,3285,3285
30103,3282,3283,3283
30104,2610,2610,2610
30105,2570,2570,2570
30106,0,0,0
30107,352,352,350
30108,337,336,334
30109,0,0,0
30110,0,0,0
30200,147,147,147
30201,18,18,18
30202,115,115,115
30203,106,106,106
30204,116,116,116
30205,104,104,104
30210,0,0,0
30211,0,0,0
30212,5,5,5
30213,0,0,0
30214,0,0,0
30300,1,1,1
30301,3,3,3
30302,0,0,0
30303,52,52,51
30304,13880,13880,13880
30305,12852,12852,12852
30306,14649,14649,14649
30307,17733,17733,17733
30308,17975,17975,17975
30309,13635,13635,13635
30350,12848,12848,12848
30351,12852,12852,12852
30352,12345,12345,12345
30353,12345,12345,12345
30354,12337,12337,12337
30355,13625,13625,13625
30400,49320,49320,49320
30401,46490,46490,46490
30402,49320,49320,49320
30403,46337,46337,46337
31000,22094,22094,22094
31001,21316,21316,21316
31002,11568,11568,11568
31003,5,5,5
31004,1543,1543,1543
31005,0,0,0
31006,0,0,0
31007,0,0,0
31008,0,0,0
31009,0,0,0
32105,10240,10240,10240
32200,2403,2404,2405
32204,499,500,500
32300,2389,2394,2394
32301,2389,2394,2394
32302,123,123,123
33000,0,0,0
33001,30296,30296,30296
33002,0,0,0
33003,24911,24911,24911
33004,0,0,0
33005,0,0,0
33006,0,0,0
33007,463,463,463
33008,0,0,0
33009,1715,1715,1715
33010,0,0,0
33011,1766,1766,1766
34000,5253,5253,5254
34001,0,0,0
34002,308,308,308
34003,7,7,7
34004,0,0,0
34005,3285,3285,3285
34006,3282,3282,3283
34007,0,0,0
34008,0,0,0
34009,0,0,0
34010,116,116,116
34011,351,351,351
34012,338,335,334
34013,258,258,258
34014,261,261,261
34015,257,257,257
34016,260,260,260
34017,0,0,0
34018,3283,3283,3284
34019,3284,3283,3283
34020,3283,3283,3283
34021,3285,3284,3284
34022,3283,3283,3283
34023,3284,3284,3284
34024,3284,3283,3284
34025,3284,3285,3285
34026,3283,3282,3284
34027,3284,3284,3284
34028,3282,3283,3284
34029,3284,3283,3285
34030,3283,3283,3284
34031,3284,3284,3285
34032,3283,3282,3283
34033,3283,3282,3283
34100,5248,5249,5249
34101,65533,65533,65533
34102,337,337,337
34103,6,6,6
34104,3,3,3
34105,3281,3282,3282
34106,3279,3280,3280
34107,0,0,0
34108,0,0,0
34109,0,0,0
34110,116,116,116
34111,342,341,341
34112,333,330,328
34113,246,246,246
34114,251,251,251
34115,243,243,243
34116,252,252,252
34117,0,0,0
34118,3280,3281,3280
34119,3281,3281,3280
34120,3280,3281,3280
34121,3281,3282,3282
34122,3280,3281,3281
34123,3281,3281,3281
34124,3280,3281,3281
34125,3281,3282,3282
34126,3280,3281,3281
34127,3281,3282,3281
34128,3280,3280,3281
34129,3281,3281,3282
34130,3280,3280,3280
34131,3281,3282,3282
34132,3280,3280,3280
34133,3279,3280,3280
34200,5248,5248,5249
34201,0,0,0
34202,307,307,307
34203,49,49,49
34204,0,0,0
34205,3282,3282,3282
34206,3279,3279,3280
34207,0,0,0
34208,0,0,0
34209,0,0,0
34210,116,116,116
34211,320,322,320
34212,284,282,282
34213,237,237,237
34214,238,238,238
34215,235,235,236
34216,235,235,235
34217,0,0,0
34218,3279,3280,3280
34219,3280,3281,3281
34220,3280,3280,3281
34221,3282,3282,3281
34222,3281,3280,3280
34223,3281,3281,3281
34224,3280,3280,3281
34225,3281,3281,3282
34226,3280,3279,3280
34227,3281,3281,3281
34228,3280,3280,3280
34229,3281,3281,3282
34230,3280,3280,3281
34231,3281,3281,3281
34232,3279,3280,3280
34233,3279,3280,3280
34300,5253,5253,5254
34301,0,0,0
34302,308,308,308
34303,45,45,45
34304,0,0,0
34305,3285,3285,3285
34306,3283,3283,3283
34307,0,0,0
34308,0,0,0
34309,0,0,0
34310,116,116,116
34311,298,298,297
34312,253,252,251
34313,231,231,231
34314,232,232,232
34315,229,229,229
34316,231,231,232
34317,0,0,0
34318,3283,3283,3283
34319,3284,3283,3285
34320,3283,3283,3284
34321,3285,3284,3284
34322,3283,3284,3283
34323,3285,3284,3285
34324,3284,3284,3283
34325,3284,3284,3285
34326,3283,3283,3283
34327,3284,3284,3284
34328,3283,3284,3283
34329,3284,3285,3285
34330,3283,3284,3283
34331,3284,3284,3285
34332,3283,3283,3284
34333,3283,3283,3283
34400,0,0,0
34401,0,0,0
34402,0,0,0
34403,0,0,0
34404,0,0,0
34405,0,0,0
34406,0,0,0
34407,0,0,0
34408,0,0,0
34409,0,0,0
34410,0,0,0
34411,0,0,0
34412,0,0,0
34413,0,0,0
34414,0,0,0
34415,0,0,0
34416,0,0,0
34417,0,0,0
34418,0,0,0
34419,0,0,0
34420,0,0,0
34421,0,0,0
34422,0,0,0
34423,0,0,0
34424,0,0,0
34425,0,0,0
34426,0,0,0
34427,0,0,0
34428,0,0,0
34429,0,0,0
34430,0,0,0
34431,0,0,0
34432,0,0,0
34433,0,0,0
34500,0,0,0
34501,0,0,0
34502,0,0,0
34503,0,0,0
34504,0,0,0
34505,0,0,0
34506,0,0,0
34507,0,0,0
34508,0,0,0
34509,0,0,0
34510,0,0,0
34511,0,0,0
34512,0,0,0
34513,0,0,0
34514,0,0,0
34515,0,0,0
34516,0,0,0
34517,0,0,0
34518,0,0,0
34519,0,0,0
34520,0,0,0
34521,0,0,0
34522,0,0,0
34523,0,0,0
34524,0,0,0
34525,0,0,0
34526,0,0,0
34527,0,0,0
34528,0,0,0
34529,0,0,0
34530,0,0,0
34531,0,0,0
34532,0,0,0
34533,0,0,0
34600,0,0,0
34601,0,0,0
34602,0,0,0
34603,0,0,0
34604,0,0,0
34605,0,0,0
34606,0,0,0
