Register,08:39:24,08:39:34,08:39:44,08:39:54,08:40:04,08:40:14,08:40:24,08:40:34,08:40:44,08:40:54,08:41:04,08:41:14,08:41:24,08:41:34
30001,63195,63193,63194,63197,63194,63197,63196,63197,65524,65524,65523,65524,65523,65524
30005,2419,2414,2417,2417,2373,2365,2367,2369,4,5,5,4,5,7
30006,2209,2209,2209,2209,2208,2208,2208,2208,0,0,0,0,0,0
30007,361,362,353,273,3159,3198,3185,3208,0,0,0,0,0,0
30010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30030,0,0,0,0,0,0,0,0,0,0,0,0,0,
30031,0,0,0,0,0,0,0,0,0,0,0,0,0,
30032,0,0,0,0,0,0,0,0,0,0,0,0,0,
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,
30101,0,0,0,0,0,0,0,0,0,0,0,0,0,
30106,0,0,0,0,0,0,0,0,0,0,0,0,0,
30109,0,0,0,0,0,0,0,0,0,0,0,0,0,
30110,0,0,0,0,0,0,0,0,0,0,0,0,0,
30211,0,0,0,0,0,0,0,0,0,0,0,0,0,
30212,5,5,5,5,5,5,5,5,5,5,5,5,5,
30213,0,0,0,0,0,0,0,0,0,0,0,0,0,
30214,0,0,0,0,0,0,0,0,0,0,0,0,0,
30301,3,3,3,3,3,2,2,2,2,2,2,2,3,
31003,5,5,5,5,5,5,5,5,5,5,5,5,5,
31004,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,
31005,0,0,0,0,0,0,0,0,0,0,0,0,0,
31006,0,0,0,0,0,0,0,0,0,0,0,0,0,
31007,0,0,0,0,0,0,0,0,0,0,0,0,0,
31008,0,0,0,0,0,0,0,0,0,0,0,0,0,
31009,0,0,0,0,0,0,0,0,0,0,0,0,0,
34007,0,0,0,0,0,0,0,0,0,0,0,0,0,
34008,0,0,0,0,0,0,0,0,0,0,0,0,0,
34009,0,0,0,0,0,0,0,0,0,0,0,0,0,
34017,0,0,0,0,0,0,0,0,0,0,0,0,0,
34107,0,0,0,0,0,0,0,0,0,0,0,0,0,
34108,0,0,0,0,0,0,0,0,0,0,0,0,0,
34109,0,0,0,0,0,0,0,0,0,0,0,0,0,
34117,0,0,0,0,0,0,0,0,0,0,0,0,0,
34207,0,0,0,0,0,0,0,0,0,0,0,0,0,
34208,0,0,0,0,0,0,0,0,0,0,0,0,0,
34209,0,0,0,0,0,0,0,0,0,0,0,0,0,
34217,0,0,0,0,0,0,0,0,0,0,0,0,0,
34307,0,0,0,0,0,0,0,0,0,0,0,0,0,
34308,0,0,0,0,0,0,0,0,0,0,0,0,0,
34309,0,0,0,0,0,0,0,0,0,0,0,0,0,
34317,0,0,0,0,0,0,0,0,0,0,0,0,0,
34400,0,0,0,0,0,0,0,0,0,0,0,0,0,
34401,0,0,0,0,0,0,0,0,0,0,0,0,0,
34402,0,0,0,0,0,0,0,0,0,0,0,0,0,
34404,0,0,0,0,0,0,0,0,0,0,0,0,0,
34408,0,0,0,0,0,0,0,0,0,0,0,0,0,
34410,0,0,0,0,0,0,0,0,0,0,0,0,0,
34500,0,0,0,0,0,0,0,0,0,0,0,0,0,
34501,0,0,0,0,0,0,0,0,0,0,0,0,0,
34502,0,0,0,0,0,0,0,0,0,0,0,0,0,
34504,0,0,0,0,0,0,0,0,0,0,0,0,0,
34508,0,0,0,0,0,0,0,0,0,0,0,0,0,
34510,0,0,0,0,0,0,0,0,0,0,0,0,0,
34600,0,0,0,0,0,0,0,0,0,0,0,0,0,
34601,0,0,0,0,0,0,0,0,0,0,0,0,0,
34602,0,0,0,0,0,0,0,0,0,0,0,0,0,
34604,0,0,0,0,0,0,0,0,0,0,0,0,0,
34608,0,0,0,0,0,0,0,0,0,0,0,0,0,
34610,0,0,0,0,0,0,0,0,0,0,0,0,0,
35100,3,3,3,3,3,3,3,1,1,1,1,1,1,
35111,500,500,500,500,500,500,500,500,500,500,500,500,500,
36000,0,0,0,0,0,0,0,0,0,0,0,0,0,
36001,0,0,0,0,0,0,0,0,0,0,0,0,0,
36100,0,0,0,0,0,0,0,0,0,0,0,0,0,
36101,0,0,0,0,0,0,0,128,128,128,0,0,0,
36102,0,0,0,0,0,0,0,0,0,0,0,0,0,
36103,0,0,0,0,0,0,0,0,0,0,0,0,0,
37000,1,1,1,1,1,1,1,1,1,1,1,1,1,
37001,0,0,0,0,0,0,0,0,0,0,0,0,0,
37002,0,0,0,0,0,0,0,0,0,0,0,0,0,
37003,0,0,0,0,0,0,0,0,0,0,0,0,0,
37005,30,30,30,30,30,30,30,30,30,30,30,30,30,
37009,0,0,0,0,0,0,0,0,0,0,0,0,0,
37010,0,0,0,0,0,0,0,0,0,0,0,0,0,
37011,0,0,0,0,0,0,0,0,0,0,0,0,0,
37013,0,0,0,0,0,0,0,0,0,0,0,0,0,
37014,0,0,0,0,0,0,0,128,128,128,0,0,0,
37015,0,0,0,0,0,0,0,0,0,0,0,0,0,
37017,0,0,0,0,0,0,0,0,0,0,0,0,0,
37018,0,0,0,0,0,0,0,0,0,0,0,0,0,
37019,0,0,0,0,0,0,0,0,0,0,0,0,0,
37020,0,0,0,0,0,0,0,0,0,0,0,0,0,
37021,0,0,0,0,0,0,0,0,0,0,0,0,0,
37023,0,0,0,0,0,0,0,0,0,0,0,0,0,
37024,0,0,0,0,0,0,0,0,0,0,0,0,0,
42010,2,2,2,2,2,2,2,2,2,2,2,2,2,
42011,0,0,0,0,0,0,0,0,0,0,0,0,0,
42021,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,
44002,0,0,0,0,0,0,0,0,0,0,0,0,0,
44003,0,0,0,0,0,0,0,0,0,0,0,0,0,
