Register,15:09:18,15:09:24,15:09:30,15:09:37,15:09:43,15:09:49,15:09:55,15:10:02,15:10:08,15:10:14,15:10:20,15:10:27,15:10:33,15:10:39,15:10:45,15:11:22,15:11:55,15:12:01,15:12:08,15:12:33,15:13:09,15:13:33,15:13:52,15:14:29,15:15:06,15:15:26,15:15:32
30001,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030,,,,,,,,,,,,,,,,,,,,,,,,,,,
30031,,,,,,,,,,,,,,,,,,,,,,,,,,,
30032,,,,,,,,,,,,,,,,,,,,,,,,,,,
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,,,5,,,,5,
30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
30214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
31003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,,,5,,,,5,
31004,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,,,1543,1543,1543,,,1543,,,,1543,
31005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
31007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
31008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
31009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,,,0,
34207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
34309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,
