Register,22:15:24,22:15:54,22:16:24,22:16:54,22:17:24,22:17:54,22:18:24,22:18:54,22:19:24,22:19:54,22:20:24,22:20:54,22:21:24,22:21:54,22:22:24,22:22:54,22:23:24,22:23:54,22:24:24,22:24:54,22:25:24,22:25:54,22:26:24,22:26:54,22:27:24,22:27:54,22:28:24,22:28:54,22:29:24,22:29:54,22:30:24,22:30:54,22:31:24,22:31:54,22:32:24
30000,532,532,531,534,531,530,529,527,528,527,524,525,526,526,525,525,526,525,525,524,527,524,524,524,523,524,524,523,521,522,521,524,526,524,
30001,65524,65524,65524,65524,65500,65392,65344,65295,65295,65246,65245,65195,65196,65145,65145,65094,65095,65043,65043,64992,64993,64942,64941,64889,64889,64839,64838,64788,64740,64736,64685,64683,64631,64631,
30002,236,236,236,236,236,236,236,237,238,238,239,240,240,241,242,243,243,244,244,245,246,246,247,248,249,250,250,250,252,253,253,254,255,256,
30003,237,237,237,237,237,238,239,239,240,240,241,242,242,243,243,244,245,246,246,247,248,249,250,250,251,252,253,254,255,256,256,256,258,260,
30004,2416,2419,2419,2420,2426,2424,2426,2430,2427,2431,2430,2427,2423,2424,2427,2426,2418,2414,2419,2419,2420,2428,2427,2430,2431,2429,2429,2433,2433,2431,2432,2434,2435,2437,
30005,7,6,5,4,8,9,9,7,11,8,9,8,8,11,8,6,9,10,7,8,8,8,9,7,9,8,11,10,11,8,10,9,8,9,
30006,0,0,0,0,46,100,150,200,200,250,250,300,300,350,350,400,400,450,450,500,500,551,551,601,601,651,651,702,750,752,802,802,852,852,
30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30020,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
30021,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
30022,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
30023,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30028,535,535,535,535,534,533,533,532,532,531,531,530,530,529,529,529,529,528,528,528,528,528,528,527,527,527,527,527,526,526,526,526,528,526,
30029,65534,65534,65534,65534,65533,65533,65533,65533,65533,65533,65533,65532,65532,65532,65532,65532,65532,65531,65531,65531,65531,65531,65530,65530,65530,65530,65530,65529,65529,65529,65529,65529,65529,65528,
30030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30036,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,
30037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30100,5331,5331,5332,5331,5327,5322,5315,5308,5303,5297,5293,5290,5288,5284,5282,5278,5279,5275,5275,5271,5273,5268,5269,5268,5265,5263,5264,5261,5256,5260,5254,5256,5293,5300,
30101,0,0,0,0,65511,65512,65503,65493,65493,65484,65484,65474,65474,65465,65465,65455,65455,65445,65445,65435,65435,65426,65426,65416,65416,65406,65406,65396,65386,65386,65376,65376,0,0,
30102,3364,3364,3364,3364,3361,3355,3347,3340,3333,3327,3320,3316,3312,3308,3305,3301,3301,3298,3299,3297,3297,3295,3294,3294,3293,3291,3292,3289,3287,3289,3287,3288,3309,3314,
30103,3328,3328,3328,3328,3325,3322,3318,3314,3312,3309,3306,3305,3303,3301,3300,3297,3298,3296,3295,3294,3294,3292,3292,3291,3289,3288,3288,3287,3285,3285,3283,3283,3308,3312,
30104,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2450,2460,2450,2460,2450,2450,2450,2450,2450,2450,2450,2460,2460,2460,2460,2450,2460,2460,2460,2460,2470,2470,2470,2470,
30105,2420,2420,2420,2420,2410,2420,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2420,2420,2420,2420,
30106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30107,308,310,309,310,310,309,308,308,309,308,309,307,308,308,309,308,309,308,308,309,308,308,308,308,309,309,310,309,308,309,309,308,310,309,
30108,246,245,245,245,246,245,246,246,246,245,246,246,247,246,247,247,247,248,248,248,249,250,250,250,251,252,252,254,255,256,257,258,258,256,
30109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30200,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,
30201,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
30202,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,
30203,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,
30204,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
30205,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,
30210,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,
30211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
30301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
30302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30303,56,56,56,56,55,55,56,56,56,56,55,55,56,56,55,55,56,56,56,56,55,55,55,55,55,55,56,56,55,55,56,56,55,55,
30304,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,
30305,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,
30306,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,
30307,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,
30308,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,
30309,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,
30350,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,
30351,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,
30352,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,
30353,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,
30354,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,
30355,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,
30400,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,
30401,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,46490,
30402,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,
30403,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,46337,
31000,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,22094,
31001,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,21316,
31002,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,11568,
31003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
31004,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,
31005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
