Register,22:32:36,22:32:58,22:33:19,22:33:41,22:34:02,22:34:24,22:34:45,22:35:07,22:35:28,22:35:50,22:36:11
30000,521,522,520,521,520,520,520,521,520,521,
30001,64632,64580,64580,64528,64528,64477,64476,64425,64424,64371,
30002,257,258,258,259,260,261,261,262,262,263,
30003,262,262,262,263,263,264,265,266,267,267,
30004,2438,2438,2439,2441,2435,2436,2437,2441,2439,2446,
30005,10,9,8,9,8,10,8,9,9,6,
30006,852,903,903,953,953,1003,1003,1053,1053,1104,
30007,0,0,0,0,0,0,0,0,0,0,
30010,0,0,0,0,0,0,0,0,0,0,
30020,99,99,99,99,99,99,99,99,99,99,
30021,99,99,99,99,99,99,99,99,99,99,
30022,99,99,99,99,99,99,99,99,99,99,
30023,99,99,99,99,99,99,99,99,99,99,
30024,0,0,0,0,0,0,0,0,0,0,
30025,0,0,0,0,0,0,0,0,0,0,
30026,0,0,0,0,0,0,0,0,0,0,
30027,0,0,0,0,0,0,0,0,0,0,
30028,525,525,525,524,524,524,524,523,523,523,
30029,65528,65528,65528,65528,65527,65527,65527,65527,65527,65526,
30030,0,0,0,0,0,0,0,0,0,0,
30031,0,0,0,0,0,0,0,0,0,0,
30032,0,0,0,0,0,0,0,0,0,0,
30033,0,0,0,0,0,0,0,0,0,0,
30034,0,0,0,0,0,0,0,0,0,0,
30035,0,0,0,0,0,0,0,0,0,0,
30036,219,219,219,219,219,219,219,219,219,219,
30037,0,0,0,0,0,0,0,0,0,0,
30038,0,0,0,0,0,0,0,0,0,0,
30039,0,0,0,0,0,0,0,0,0,0,
30040,0,0,0,0,0,0,0,0,0,0,
30100,5305,5306,5307,5308,5309,5310,5310,5311,5311,5312,
30101,0,0,0,0,0,0,0,0,0,0,
30102,3317,3317,3319,3319,3320,3320,3320,3321,3321,3321,
30103,3314,3316,3316,3317,3318,3317,3318,3319,3319,3319,
30104,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,
30105,2410,2420,2420,2420,2420,2420,2420,2420,2420,2420,
30106,0,0,0,0,0,0,0,0,0,0,
30107,308,307,310,308,308,308,309,308,308,308,
30108,255,254,254,254,254,254,253,254,254,254,
30109,0,0,0,0,0,0,0,0,0,0,
30110,0,0,0,0,0,0,0,0,0,0,
30200,147,147,147,147,147,147,147,147,147,147,
30201,18,18,18,18,18,18,18,18,18,18,
30202,115,115,115,115,115,115,115,115,115,115,
30203,106,106,106,106,106,106,106,106,106,106,
30204,116,116,116,116,116,116,116,116,116,116,
30205,104,104,104,104,104,104,104,104,104,104,
30210,0,0,0,0,0,0,0,0,0,0,
30211,0,0,0,0,0,0,0,0,0,0,
30212,5,5,5,5,5,5,5,5,5,5,
30213,0,0,0,0,0,0,0,0,0,0,
30214,0,0,0,0,0,0,0,0,0,0,
