Register,22:36:22,22:36:44,22:37:05,22:37:27,22:37:48,22:38:10,22:38:31,22:38:52,22:39:14,22:39:35,22:39:57,22:40:18,22:40:40,22:41:01,22:41:23,22:41:44,22:42:06,22:42:27,22:42:49,22:43:10,22:43:32,22:43:53,22:44:15
30000,520,520,520,519,518,517,516,518,517,515,515,515,515,514,515,514,514,512,516,516,512,511,512
30001,64370,64267,64187,64160,64163,64059,64059,63953,63952,63848,63847,63740,63740,63634,63634,63526,63528,63421,63420,63312,63314,63205,63205
30002,264,265,266,267,267,268,269,270,271,272,273,274,275,276,277,279,280,281,282,283,285,286,288
30003,268,269,270,271,272,273,274,275,277,278,279,281,282,284,285,287,289,291,293,295,297,299,302
30004,2444,2448,2446,2447,2448,2445,2447,2445,2449,2447,2449,2449,2450,2451,2451,2451,2452,2452,2456,2452,2447,2452,2449
30005,8,10,11,9,10,10,7,10,9,10,9,10,8,9,11,8,9,10,8,11,8,12,9
30006,1104,1204,1232,1305,1305,1405,1405,1506,1506,1606,1607,1706,1707,1807,1807,1907,1907,2008,2008,2108,2108,2208,2209
30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30020,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
30021,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
30022,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
30023,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30028,523,523,522,522,521,521,521,520,520,519,519,519,518,518,517,517,517,516,525,518,516,515,515
30029,65527,65526,65525,65525,65524,65524,65524,65524,65523,65523,65522,65522,65522,65521,65521,65520,65520,65520,65519,65519,65519,65518,65518
30030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30036,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
30037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30100,5313,5313,5313,5314,5314,5314,5314,5315,5315,5315,5315,5316,5316,5316,5316,5316,5317,5317,5317,5317,5317,5318,5318
30101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30102,3322,3323,3322,3323,3322,3323,3323,3323,3323,3323,3323,3324,3323,3324,3324,3324,3324,3324,3325,3325,3325,3325,3325
30103,3320,3320,3320,3320,3320,3320,3320,3321,3321,3321,3321,3321,3322,3322,3322,3321,3322,3322,3322,3322,3323,3322,3323
30104,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2460
30105,2420,2420,2420,2420,2430,2420,2430,2420,2420,2420,2430,2420,2420,2420,2430,2430,2420,2430,2420,2430,2430,2440,2430
30106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30107,307,309,309,310,308,309,310,310,311,310,310,310,309,310,311,311,311,311,312,312,312,312,313
30108,254,253,254,254,254,254,254,254,255,254,255,255,255,256,256,256,257,258,258,259,259,260,261
30109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30200,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
30201,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
30202,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
30203,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
30204,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
30205,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
30210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30303,56,56,56,56,56,56,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56
30304,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880
30305,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852
30306,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
30307,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733
30308,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975,17975
30309,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635,13635
30350,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848,12848
30351,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852,12852
30352,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345
30353,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345
30354,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337,12337
30355,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625,13625
30400,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320,49320
