Register,raw_uint16,raw_int16,hex
30000,545,545,0x0221
30001,2039,2039,0x07F7
30002,325,325,0x0145
30003,334,334,0x014E
30004,2396,2396,0x095C
30005,5,5,0x0005
30006,63364,-2172,0xF784
30007,0,0,0x0000
30010,0,0,0x0000
30020,100,100,0x0064
30021,99,99,0x0063
30022,99,99,0x0063
30023,99,99,0x0063
30024,0,0,0x0000
30025,0,0,0x0000
30026,0,0,0x0000
30027,0,0,0x0000
30028,547,547,0x0223
30029,11,11,0x000B
30030,0,0,0x0000
30031,0,0,0x0000
30032,0,0,0x0000
30033,0,0,0x0000
30034,0,0,0x0000
30035,0,0,0x0000
30036,219,219,0x00DB
30037,0,0,0x0000
30038,0,0,0x0000
30039,0,0,0x0000
30040,0,0,0x0000
30100,5291,5291,0x14AB
30101,0,0,0x0000
30102,3308,3308,0x0CEC
30103,3306,3306,0x0CEA
30104,2760,2760,0x0AC8
30105,2670,2670,0x0A6E
30106,0,0,0x0000
30107,335,335,0x014F
30108,322,322,0x0142
30109,0,0,0x0000
30110,0,0,0x0000
30200,147,147,0x0093
30201,18,18,0x0012
30202,115,115,0x0073
30203,106,106,0x006A
30204,116,116,0x0074
30205,104,104,0x0068
30210,0,0,0x0000
30211,0,0,0x0000
30212,5,5,0x0005
30213,0,0,0x0000
30214,0,0,0x0000
30300,1,1,0x0001
30301,1,1,0x0001
30302,0,0,0x0000
30303,54,54,0x0036
30304,13880,13880,0x3638
30305,12852,12852,0x3234
30306,14649,14649,0x3939
30307,17733,17733,0x4545
30308,17975,17975,0x4637
30309,13635,13635,0x3543
30350,12848,12848,0x3230
30351,12852,12852,0x3234
30352,12345,12345,0x3039
30353,12345,12345,0x3039
30354,12337,12337,0x3031
30355,13625,13625,0x3539
30400,49320,-16216,0xC0A8
30401,46490,-19046,0xB59A
30402,49320,-16216,0xC0A8
30403,46337,-19199,0xB501
31000,22094,22094,0x564E
31001,21316,21316,0x5344
31002,11568,11568,0x2D30
31003,5,5,0x0005
31004,1543,1543,0x0607
31005,0,0,0x0000
31006,0,0,0x0000
31007,0,0,0x0000
31008,0,0,0x0000
31009,0,0,0x0000
32105,10240,10240,0x2800
32200,2395,2395,0x095B
32204,499,499,0x01F3
32300,5,5,0x0005
32301,5,5,0x0005
32302,0,0,0x0000
33000,0,0,0x0000
