Register,14:42:46,14:42:56,14:43:06,14:43:16,14:43:26,14:43:36,14:43:46,14:43:56,14:44:06,14:44:16,14:45:04,14:47:17,14:49:30,14:51:42,14:53:55,14:56:08,14:58:22,15:00:35,15:02:48,15:05:01,15:07:14,15:09:27
30001,2030,2030,2032,2029,2031,2031,2030,2032,2031,2031,,,,,,,,,,,,
30005,10,4,10,10,6,7,9,8,17,11,,,,,,,,,,,,
30006,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,,,,,,,,,,,,
30007,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30010,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30030,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30031,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30032,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30033,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30034,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30035,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30101,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30106,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30109,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30110,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30211,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30212,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
30213,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30214,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30301,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
31003,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
31004,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,,,,,,,,,,,,
31005,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31006,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31007,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31008,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31009,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34007,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34008,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34009,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34017,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34107,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34108,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34109,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34117,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34207,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34208,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34209,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34217,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34307,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34308,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34309,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34317,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
