Register,11:03:12,11:03:42,11:04:12,11:04:42,11:05:12,11:05:42,11:06:12,11:06:42,11:07:12,11:07:42,11:08:12,11:08:42,11:09:12,11:09:42,11:10:12,11:10:42,11:11:12,11:11:42,11:12:12,11:12:42,11:13:12,11:13:42,11:14:12
30000,543,545,546,545,545,545,546,546,545,547,546,547,547,548,538,543,547,546,546,547,547,546,547
30001,2036,2036,2035,2036,2037,2037,2036,2037,2035,2034,2036,2034,2035,2035,2036,2036,2037,2037,2037,2036,2036,2033,2036
30002,375,375,375,375,376,376,376,377,377,377,377,377,378,378,377,377,377,378,378,378,378,379,379
30003,385,385,385,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,389,387,387,387
30004,2399,2396,2394,2396,2397,2395,2396,2392,2392,2391,2390,2397,2393,2391,2391,2388,2386,2387,2386,2389,2390,2385,2393
30005,7,6,8,11,7,7,8,7,9,7,9,10,10,5,6,8,8,8,8,8,6,7,8
30006,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,63364,63363,63364,63364,63364,63364,63364,63364,63364,63364
30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30020,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30021,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30022,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30023,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30028,547,548,548,548,549,549,549,549,549,550,550,550,550,550,544,547,548,549,549,549,550,550,550
30029,11,12,11,12,12,12,12,12,12,11,12,12,12,11,12,12,12,12,12,11,11,12,11
30030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30036,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
