Register,15:43:51,15:45:31,15:47:11,15:48:51
30000,530,531,530,528
30001,159,159,159,158
30002,278,278,280,279
30003,284,285,285,285
30004,2415,2410,2421,2425
30005,10,7,8,9
30006,65329,65329,65329,65329
30007,0,0,0,0
30010,0,0,0,0
30020,100,100,100,100
30021,99,99,99,99
30022,99,99,99,99
30023,99,99,99,99
30024,0,0,0,0
30025,0,0,0,0
30026,0,0,0,0
30027,0,0,0,0
30028,532,532,532,533
30029,0,0,0,0
30030,0,0,0,0
30031,0,0,0,0
30032,0,0,0,0
30033,0,0,0,0
30034,0,0,0,0
30035,0,0,0,0
30036,219,219,219,219
30037,0,0,0,0
30038,0,0,0,0
30039,0,0,0,0
30040,0,0,0,0
30100,5280,5280,5280,5280
30101,0,0,0,0
30102,3301,3301,3302,3301
30103,3299,3299,3299,3299
30104,2630,2630,2630,2630
30105,2610,2600,2600,2600
30106,0,0,0,0
30107,324,325,324,324
30108,267,267,266,266
30109,0,0,0,0
30110,0,0,0,0
30200,1492,1492,1492,1492
30201,18,18,18,18
30202,115,115,115,115
30203,106,106,106,106
30204,1177,1177,1177,1177
30205,104,104,104,104
30210,0,0,0,0
30211,0,0,0,0
30212,5,5,5,5
30213,0,0,0,0
30214,0,0,0,0
30300,1,1,1,1
30301,3,3,3,3
30302,1,1,1,1
30303,57,57,58,58
30304,13880,13880,13880,13880
30305,12852,12852,12852,12852
30306,14649,14649,14649,14649
30307,17733,17733,17733,17733
30308,17975,17975,17975,17975
30309,13635,13635,13635,13635
30350,12848,12848,12848,12848
30351,12852,12852,12852,12852
30352,12345,12345,12345,12345
30353,12345,12345,12345,12345
30354,12337,12337,12337,12337
30355,13625,13625,13625,13625
30400,49320,49320,49320,49320
30401,46490,46490,46490,46490
30402,49320,49320,49320,49320
30403,46337,46337,46337,46337
31000,22094,22094,22094,22094
31001,21316,21316,21316,21316
31002,11568,11568,11568,11568
31003,5,5,5,5
31004,1543,1543,1543,1543
31005,0,0,0,0
31006,0,0,0,0
31007,0,0,0,0
31008,0,0,0,0
31009,0,0,0,0
32105,15360,15360,15360,15360
32200,2414,2408,2422,2428
32204,500,499,499,499
32300,9,9,9,8
32301,9,9,9,8
32302,0,0,0,0
33000,0,0,0,0
33001,31545,31545,31546,31546
33002,0,0,0,0
33003,25819,25819,25819,25819
33004,0,0,0,0
33005,157,157,158,159
33006,0,0,0,0
33007,459,459,459,459
33008,0,0,0,0
33009,157,157,158,159
33010,0,0,0,0
33011,459,459,459,459
34000,5280,5280,5279,5280
34001,0,0,0,0
34002,499,499,499,499
34003,1,1,1,1
34004,0,0,0,0
34005,3301,3301,3301,3301
34006,3299,3299,3299,3299
34007,0,0,0,0
34008,0,0,0,0
34009,0,0,0,0
34010,1177,1177,1177,1177
34011,325,325,324,324
34012,267,266,266,266
34013,261,261,260,260
34014,263,264,263,263
34015,262,262,262,262
34016,263,263,262,263
34017,0,0,0,0
34018,3300,3300,3300,3300
34019,3300,3300,3300,3300
34020,3300,3300,3300,3300
34021,3301,3300,3300,3300
34022,3300,3300,3300,3299
34023,3301,3300,3301,3301
34024,3299,3300,3299,3300
34025,3300,3301,3301,3301
34026,3299,3300,3299,3300
34027,3301,3301,3300,3301
34028,3300,3301,3300,3301
34029,3301,3301,3301,3300
34030,3300,3299,3299,3299
34031,3301,3301,3300,3301
34032,3299,3299,3299,3299
34033,3299,3299,3299,3299
34100,5277,5277,5278,5277
34101,0,0,0,0
34102,499,499,499,499
34103,1,1,1,1
34104,0,0,0,0
34105,3300,3300,3300,3299
34106,3298,3297,3298,3298
34107,0,0,0,0
34108,0,0,0,0
34109,0,0,0,0
34110,1177,1177,1177,1177
34111,307,308,308,306
34112,252,252,252,251
34113,253,253,253,252
34114,252,252,252,252
34115,253,254,253,253
34116,253,253,252,252
34117,0,0,0,0
34118,3298,3298,3298,3298
34119,3299,3299,3299,3299
34120,3299,3298,3299,3298
34121,3299,3300,3300,3299
34122,3298,3299,3299,3298
34123,3299,3299,3298,3299
34124,3298,3299,3299,3298
34125,3299,3299,3298,3299
34126,3299,3298,3298,3298
34127,3300,3298,3299,3299
34128,3298,3298,3298,3298
34129,3298,3299,3299,3299
34130,3299,3298,3299,3298
34131,3300,3300,3299,3299
34132,3298,3297,3299,3298
34133,3298,3298,3299,3298
34200,5275,5275,5275,5275
34201,0,0,0,0
34202,433,433,433,433
34203,8,8,8,8
34204,0,0,0,0
34205,3298,3298,3298,3299
34206,3296,3296,3296,3296
34207,0,0,0,0
34208,0,0,0,0
34209,0,0,0,0
34210,1177,1177,1177,1177
34211,307,306,307,308
34212,246,246,246,245
34213,239,239,239,239
34214,239,239,240,239
34215,237,238,238,237
34216,237,238,238,237
34217,0,0,0,0
34218,3297,3297,3296,3297
34219,3298,3298,3297,3298
34220,3297,3296,3297,3297
34221,3298,3298,3298,3298
34222,3298,3297,3297,3297
34223,3298,3298,3298,3298
34224,3297,3297,3297,3297
34225,3298,3298,3298,3298
34226,3296,3297,3297,3297
34227,3298,3297,3297,3298
34228,3297,3297,3297,3297
34229,3298,3298,3297,3298
34230,3297,3297,3298,3297
34231,3297,3298,3298,3299
34232,3297,3296,3297,3296
34233,3297,3296,3297,3297
34300,5285,5284,5285,5284
34301,0,0,0,0
34302,600,600,600,600
34303,7,7,7,7
34304,0,0,0,0
34305,3305,3304,3305,3304
34306,3302,3302,3302,3302
34307,0,0,0,0
34308,0,0,0,0
34309,0,0,0,0
34310,1177,1177,1177,1177
34311,312,311,311,310
34312,252,252,251,252
34313,245,245,245,245
34314,252,251,251,251
34315,242,242,242,242
34316,252,251,251,251
34317,0,0,0,0
34318,3303,3303,3302,3302
34319,3303,3304,3304,3303
34320,3303,3303,3303,3303
34321,3305,3303,3303,3303
34322,3303,3303,3302,3303
34323,3304,3304,3304,3303
34324,3303,3302,3302,3303
34325,3304,3303,3304,3304
34326,3303,3302,3303,3302
34327,3304,3303,3305,3303
34328,3302,3303,3302,3302
34329,3303,3304,3304,3303
34330,3303,3302,3302,3303
34331,3305,3304,3305,3304
34332,3303,3302,3302,3302
34333,3303,3303,3303,3302
34400,5304,5305,5307,5306
34401,32,32,32,32
34402,450,452,454,456
34403,50,50,50,50
34404,3,3,3,3
34405,3316,3317,3318,3318
34406,3315,3315,3316,3315
34407,0,0,0,0
34408,0,0,0,0
34409,0,0,0,0
34410,1177,1177,1177,1177
34411,308,308,308,308
34412,245,245,246,245
34413,232,232,232,233
34414,233,233,233,233
34415,231,231,231,231
34416,230,230,230,230
34417,0,0,0,0
34418,3315,3316,3316,3316
34419,3316,3316,3318,3317
34420,3315,3316,3316,3316
34421,3316,3317,3318,3317
34422,3315,3316,3317,3316
34423,3316,3317,3317,3317
34424,3315,3316,3316,3316
34425,3316,3317,3317,3317
34426,3316,3316,3316,3316
34427,3316,3316,3318,3317
34428,3315,3315,3317,3316
34429,3316,3317,3318,3317
34430,3315,3315,3317,3317
34431,3316,3316,3318,3318
34432,3315,3316,3316,3315
34433,3316,3315,3316,3316
34500,5280,5280,5279,5280
34501,0,0,0,0
34502,499,499,499,499
34503,45,45,45,45
34504,0,0,0,0
34505,3302,3301,3302,3301
34506,3299,3299,3299,3299
34507,0,0,0,0
34508,0,0,0,0
34509,0,0,0,0
34510,1177,1177,1177,1177
34511,292,291,292,292
34512,232,232,232,232
34513,231,231,231,231
34514,235,235,234,234
34515,229,229,229,229
34516,234,234,234,234
34517,0,0,0,0
34518,3300,3300,3300,3300
34519,3300,3300,3300,3300
34520,3299,3300,3300,3299
34521,3300,3300,3300,3301
34522,3299,3300,3300,3299
34523,3301,3300,3301,3300
34524,3301,3300,3300,3300
34525,3300,3301,3300,3300
34526,3300,3300,3299,3300
34527,3301,3301,3302,3301
34528,3300,3300,3300,3301
34529,3302,3301,3300,3301
34530,3300,3300,3299,3299
34531,3301,3301,3300,3301
34532,3299,3299,3299,3300
34533,3299,3299,3299,3300
34600,0,0,0,0
34601,0,0,0,0
34602,0,0,0,0
34603,0,0,0,0
34604,0,0,0,0
34605,0,0,0,0
34606,0,0,0,0
34607,0,0,0,0
34608,0,0,0,0
34609,0,0,0,0
34610,0,0,0,0
34611,0,0,0,0
34612,0,0,0,0
34613,0,0,0,0
34614,0,0,0,0
34615,0,0,0,0
34616,0,0,0,0
34617,0,0,0,0
34618,0,0,0,0
34619,0,0,0,0
34620,0,0,0,0
34621,0,0,0,0
34622,0,0,0,0
34623,0,0,0,0
34624,0,0,0,0
34625,0,0,0,0
34626,0,0,0,0
34627,0,0,0,0
34628,0,0,0,0
34629,0,0,0,0
34630,0,0,0,0
34631,0,0,0,0
34632,0,0,0,0
34633,0,0,0,0
35000,278,278,279,279
35001,284,285,285,282
35002,284,285,285,282
35010,263,263,263,263
35011,260,260,260,260
35100,2,2,2,2
35110,576,576,576,576
35111,500,500,500,500
35112,500,500,500,500
36000,0,0,0,0
36001,0,0,0,0
36100,0,0,0,0
36101,0,0,0,0
36102,0,0,0,0
36103,0,0,0,0
37000,1,1,1,1
37001,0,0,0,0
37002,0,0,0,0
37003,0,0,0,0
37004,65329,65329,65329,65329
37005,49,49,49,49
37006,263,263,263,263
37007,3302,3301,3301,3301
37008,3299,3299,3299,3299
37009,0,0,0,0
37010,0,0,0,0
37011,0,0,0,0
37012,1177,1177,1177,1177
37013,0,0,0,0
37014,0,0,0,0
37015,0,0,0,0
37016,0,0,0,0
37017,0,0,0,0
37018,0,0,0,0
37019,0,0,0,0
37020,0,0,0,0
37021,0,0,0,0
37022,0,0,0,0
37023,0,0,0,0
37024,0,0,0,0
41000,0,0,0,0
41100,1,1,1,1
41200,1,1,1,1
42000,21930,21930,21930,21930
42010,1,1,1,1
42011,0,0,0,0
42020,210,210,210,210
42021,0,0,0,0
43000,1,1,1,1
43100,0,0,0,0
43101,0,0,0,0
43102,0,0,0,0
43103,0,0,0,0
43104,0,0,0,0
43105,0,0,0,0
43106,0,0,0,0
43107,0,0,0,0
43108,0,0,0,0
43109,0,0,0,0
43110,0,0,0,0
43111,0,0,0,0
43112,0,0,0,0
43113,0,0,0,0
43114,0,0,0,0
43115,0,0,0,0
43116,0,0,0,0
43117,0,0,0,0
43118,0,0,0,0
43119,0,0,0,0
43120,0,0,0,0
43121,0,0,0,0
43122,0,0,0,0
43123,0,0,0,0
43124,0,0,0,0
43125,0,0,0,0
43126,0,0,0,0
43127,0,0,0,0
43128,0,0,0,0
43129,0,0,0,0
44002,0,0,0,0
44003,0,0,0,0
