Register,12:11:55,12:12:05,12:12:15,12:12:25,12:12:35,12:13:18,12:13:28,12:13:38,12:13:48,12:13:59,12:14:09,12:14:19,12:14:29,12:14:39,12:14:49,12:14:59,12:15:09,12:15:19,12:15:29,12:15:39,12:15:49
30001,65524,65524,65524,65524,65524,65523,65522,65523,65523,65523,65522,65524,778,921,920,920,921,920,920,919,
30005,6,7,4,5,4,6,7,5,5,7,8,4,9,7,8,9,6,12,8,7,
30006,0,0,0,0,0,0,0,0,0,0,0,0,64787,64546,64546,64546,64546,64546,64546,64546,
30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30101,65535,65535,65535,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30301,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
31003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
31004,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,
31005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
