Register,12:16:10,12:16:32,12:16:53,12:17:14,12:17:36,12:17:57,12:18:19
30000,520,520,520,522,522,520,522
30001,919,920,919,920,919,920,919
30002,298,298,298,298,298,299,298
30003,313,312,312,312,311,311,310
30004,2441,2445,2447,2444,2443,2444,2444
30005,8,9,9,9,8,8,8
30006,64546,64546,64546,64546,64546,64546,64546
30007,0,0,0,0,0,0,0
30010,0,0,0,0,0,0,0
30020,87,90,92,94,95,96,97
30021,89,91,93,95,96,97,98
30022,91,93,95,96,97,98,98
30023,87,89,91,93,94,96,96
30024,0,0,0,0,0,0,0
30025,0,0,0,0,0,0,0
30026,0,0,0,0,0,0,0
30027,0,0,0,0,0,0,0
30028,523,523,523,524,524,524,524
30029,4,4,4,4,4,4,4
30030,0,0,0,0,0,0,0
30031,0,0,0,0,0,0,0
30032,0,0,0,0,0,0,0
30033,0,0,0,0,0,0,0
30034,0,0,0,0,0,0,0
30035,0,0,0,0,0,0,0
30036,219,219,219,219,219,219,219
30037,0,0,0,0,0,0,0
30038,0,0,0,0,0,0,0
30039,0,0,0,0,0,0,0
30040,0,0,0,0,0,0,0
30100,5103,5104,5104,5105,5106,5106,5107
30101,0,0,0,0,0,0,0
30102,3192,3191,3192,3192,3193,3193,3193
30103,3188,3189,3189,3189,3190,3190,3191
30104,3040,3040,3040,3040,3040,3040,3030
30105,2930,2930,2920,2930,2930,2920,2920
30106,0,0,0,0,0,0,0
30107,353,354,353,352,352,351,350
30108,333,331,330,329,327,326,324
30109,0,0,0,0,0,0,0
30110,0,0,0,0,0,0,0
30200,147,147,147,147,147,147,147
30201,18,18,18,18,18,18,18
30202,115,115,115,115,115,115,115
30203,106,106,106,106,106,106,106
30204,116,116,116,116,116,116,116
30205,104,104,104,104,104,104,104
30210,0,0,0,0,0,0,0
30211,0,0,0,0,0,0,0
30212,5,5,5,5,5,5,5
30213,0,0,0,0,0,0,0
30214,0,0,0,0,0,0,0
30300,1,1,1,1,1,1,1
30301,3,3,3,3,3,3,3
30302,0,0,0,0,0,0,0
30303,47,48,48,48,48,48,48
30304,13880,13880,13880,13880,13880,13880,13880
30305,12852,12852,12852,12852,12852,12852,12852
30306,14649,14649,14649,14649,14649,14649,14649
30307,17733,17733,17733,17733,17733,17733,17733
30308,17975,17975,17975,17975,17975,17975,17975
30309,13635,13635,13635,13635,13635,13635,13635
30350,12848,12848,12848,12848,12848,12848,12848
30351,12852,12852,12852,12852,12852,12852,12852
30352,12345,12345,12345,12345,12345,12345,12345
30353,12345,12345,12345,12345,12345,12345,12345
30354,12337,12337,12337,12337,12337,12337,12337
30355,13625,13625,13625,13625,13625,13625,13625
30400,49320,49320,49320,49320,49320,49320,49320
30401,46490,46490,46490,46490,46490,46490,46490
30402,49320,49320,49320,49320,49320,49320,49320
30403,46337,46337,46337,46337,46337,46337,46337
31000,22094,22094,22094,22094,22094,22094,22094
31001,21316,21316,21316,21316,21316,21316,21316
31002,11568,11568,11568,11568,11568,11568,11568
31003,5,5,5,5,5,5,5
31004,1543,1543,1543,1543,1543,1543,1543
31005,0,0,0,0,0,0,0
31006,0,0,0,0,0,0,0
31007,0,0,0,0,0,0,0
31008,0,0,0,0,0,0,0
31009,0,0,0,0,0,0,0
32105,10240,10240,10240,10240,10240,10240,10240
32200,2447,2443,2448,2442,2446,2445,2446
32204,500,500,500,499,500,500,499
32300,9,10,9,10,9,8,9
32301,9,10,9,10,9,8,9
32302,0,0,0,0,0,0,0
33000,0,0,0,0,0,0,0
33001,30299,30299,30300,30301,30301,30302,30302
33002,0,0,0,0,0,0,0
33003,25130,25130,25130,25130,25130,25130,25130
33004,0,0,0,0,0,0,0
33005,3,3,4,4,5,6,6
33006,0,0,0,0,0,0,0
33007,682,682,682,682,682,682,682
33008,0,0,0,0,0,0,0
33009,1718,1718,1719,1720,1720,1721,1721
33010,0,0,0,0,0,0,0
33011,1984,1984,1984,1984,1984,1984,1984
34000,5104,5104,5104,5105,5105,5106,5106
34001,0,0,0,0,0,0,0
34002,82,82,82,82,82,82,82
34003,7,7,7,7,7,7,7
34004,0,0,0,0,0,0,0
34005,3191,3191,3192,3193,3193,3193,3193
34006,3189,3189,3189,3189,3190,3190,3190
34007,0,0,0,0,0,0,0
34008,0,0,0,0,0,0,0
34009,0,0,0,0,0,0,0
34010,116,116,116,116,116,116,116
34011,353,354,352,351,351,350,350
34012,333,331,329,329,327,325,325
34013,304,304,304,303,304,304,303
34014,295,295,295,294,295,295,295
34015,297,297,297,297,297,297,297
34016,293,293,293,293,293,293,292
34017,0,0,0,0,0,0,0
34018,3190,3191,3191,3190,3191,3192,3191
34019,3190,3191,3191,3191,3192,3192,3193
34020,3190,3190,3190,3192,3191,3191,3191
34021,3190,3191,3191,3192,3191,3193,3193
34022,3189,3190,3190,3189,3190,3190,3190
34023,3191,3190,3190,3191,3192,3192,3191
34024,3190,3191,3191,3191,3192,3192,3193
34025,3191,3191,3192,3192,3193,3193,3192
34026,3190,3190,3190,3190,3192,3191,3192
34027,3190,3191,3191,3192,3192,3192,3192
34028,3189,3190,3190,3190,3190,3191,3191
34029,3191,3191,3192,3192,3191,3192,3192
34030,3190,3190,3190,3190,3190,3191,3192
34031,3191,3191,3191,3193,3191,3193,3192
34032,3189,3189,3190,3190,3191,3190,3191
34033,3189,3189,3189,3190,3190,3190,3191
34100,5200,5202,5206,5208,5207,5211,5212
34101,179,178,178,178,178,178,178
34102,128,132,135,137,139,141,143
34103,6,6,6,6,6,6,6
34104,3,3,3,3,3,3,3
34105,3253,3254,3256,3258,3257,3259,3261
34106,3249,3251,3252,3254,3253,3256,3257
34107,0,0,0,0,0,0,0
34108,0,0,0,0,0,0,0
34109,0,0,0,0,0,0,0
34110,116,116,116,116,116,116,116
34111,343,343,343,343,343,344,343
34112,321,322,322,322,322,322,322
34113,277,277,277,277,277,277,277
34114,288,288,288,288,288,288,288
34115,271,271,270,271,271,271,271
34116,291,290,291,290,291,290,291
34117,0,0,0,0,0,0,0
34118,3251,3252,3254,3257,3255,3256,3258
34119,3252,3252,3256,3258,3257,3259,3261
34120,3250,3251,3255,3255,3255,3256,3257
34121,3251,3252,3255,3256,3255,3257,3258
34122,3251,3251,3254,3255,3254,3257,3258
34123,3251,3253,3254,3255,3255,3257,3259
34124,3249,3251,3253,3255,3254,3256,3257
34125,3250,3252,3255,3256,3254,3258,3258
34126,3249,3251,3253,3254,3255,3257,3257
34127,3250,3252,3253,3255,3255,3257,3258
34128,3249,3251,3252,3254,3253,3256,3258
34129,3250,3252,3253,3255,3254,3256,3258
34130,3250,3251,3253,3255,3254,3257,3257
34131,3253,3254,3255,3256,3255,3259,3259
34132,3252,3253,3256,3257,3256,3259,3258
34133,3249,3251,3254,3255,3254,3258,3258
34200,5119,5118,5118,5119,5119,5120,5119
34201,0,0,0,0,0,0,0
34202,100,100,100,100,100,100,100
34203,49,49,49,49,49,49,49
34204,0,0,0,0,0,0,0
34205,3200,3200,3200,3201,3201,3202,3201
34206,3198,3198,3198,3198,3199,3199,3199
34207,0,0,0,0,0,0,0
34208,0,0,0,0,0,0,0
34209,0,0,0,0,0,0,0
34210,116,116,116,116,116,116,116
34211,329,328,329,329,328,329,328
34212,277,276,276,275,275,275,274
34213,259,259,259,259,259,259,259
34214,259,260,260,260,260,260,259
34215,259,259,259,259,259,259,259
34216,256,257,257,257,257,257,256
34217,0,0,0,0,0,0,0
34218,3199,3200,3199,3200,3200,3199,3200
34219,3200,3199,3200,3200,3200,3201,3200
34220,3200,3199,3200,3200,3200,3200,3200
34221,3200,3199,3200,3201,3200,3201,3201
34222,3199,3198,3199,3199,3199,3200,3199
34223,3200,3199,3199,3200,3200,3202,3200
34224,3200,3200,3199,3200,3200,3200,3200
34225,3200,3200,3199,3200,3200,3201,3201
34226,3199,3199,3199,3200,3199,3200,3199
34227,3200,3200,3200,3200,3200,3202,3201
34228,3199,3199,3199,3199,3200,3200,3200
34229,3200,3199,3200,3201,3201,3200,3200
34230,3198,3199,3199,3199,3200,3199,3200
34231,3200,3199,3200,3201,3200,3201,3200
34232,3199,3198,3198,3199,3199,3199,3199
34233,3199,3199,3199,3199,3199,3199,3199
34300,5116,5116,5117,5117,5117,5118,5118
34301,0,0,0,0,0,0,0
34302,106,106,106,106,106,106,106
34303,45,45,45,45,45,45,45
34304,0,0,0,0,0,0,0
34305,3199,3200,3200,3199,3200,3200,3200
34306,3197,3197,3197,3197,3197,3198,3198
34307,0,0,0,0,0,0,0
34308,0,0,0,0,0,0,0
34309,0,0,0,0,0,0,0
34310,116,116,116,116,116,116,116
34311,312,311,312,311,311,310,311
34312,266,266,265,264,264,264,263
34313,254,254,254,254,254,254,254
34314,262,262,262,262,262,262,262
34315,251,251,251,251,251,251,251
34316,260,260,260,260,260,260,260
34317,0,0,0,0,0,0,0
34318,3198,3198,3199,3199,3198,3199,3199
34319,3198,3197,3198,3198,3198,3199,3199
34320,3197,3198,3197,3198,3197,3198,3199
34321,3198,3199,3199,3198,3200,3199,3200
34322,3197,3198,3198,3198,3198,3200,3199
34323,3198,3199,3200,3198,3199,3200,3200
34324,3197,3197,3198,3197,3198,3198,3199
34325,3199,3198,3198,3199,3199,3199,3199
